year,Eleuterio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,6
1919,7
1920,9
1921,6
1922,11
1923,5
1924,13
1925,8
1926,18
1927,11
1928,11
1929,10
1930,5
1931,12
1932,8
1933,6
1934,8
1935,5
1936,9
1937,13
1938,10
1939,6
1940,5
1941,7
1942,6
1943,0
1944,11
1945,0
1946,0
1947,8
1948,7
1949,0
1950,9
1951,7
1952,0
1953,0
1954,13
1955,10
1956,9
1957,8
1958,11
1959,13
1960,8
1961,9
1962,6
1963,8
1964,7
1965,5
1966,10
1967,0
1968,0
1969,10
1970,7
1971,6
1972,7
1973,9
1974,6
1975,8
1976,8
1977,12
1978,12
1979,14
1980,11
1981,11
1982,17
1983,9
1984,6
1985,0
1986,8
1987,12
1988,6
1989,7
1990,11
1991,5
1992,14
1993,9
1994,10
1995,10
1996,5
1997,10
1998,7
1999,11
2000,7
2001,8
2002,11
2003,10
2004,9
2005,8
2006,11
2007,5
2008,7
2009,6
2010,0
2011,5
2012,0
