year,Evangelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,0
1959,8
1960,0
1961,0
1962,6
1963,10
1964,11
1965,8
1966,0
1967,11
1968,8
1969,11
1970,10
1971,13
1972,12
1973,17
1974,10
1975,18
1976,15
1977,21
1978,17
1979,18
1980,20
1981,26
1982,18
1983,16
1984,17
1985,16
1986,11
1987,10
1988,14
1989,11
1990,17
1991,17
1992,10
1993,13
1994,13
1995,16
1996,10
1997,18
1998,23
1999,19
2000,21
2001,17
2002,26
2003,24
2004,19
2005,29
2006,29
2007,50
2008,28
2009,23
2010,31
2011,30
2012,24
