year,Eusebio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,5
1907,5
1908,5
1909,0
1910,6
1911,5
1912,8
1913,16
1914,9
1915,16
1916,14
1917,8
1918,14
1919,20
1920,19
1921,15
1922,16
1923,32
1924,29
1925,44
1926,45
1927,41
1928,39
1929,45
1930,35
1931,36
1932,28
1933,31
1934,29
1935,30
1936,31
1937,18
1938,30
1939,29
1940,25
1941,34
1942,30
1943,28
1944,25
1945,47
1946,37
1947,40
1948,25
1949,27
1950,46
1951,27
1952,35
1953,28
1954,37
1955,30
1956,34
1957,34
1958,30
1959,31
1960,27
1961,28
1962,32
1963,30
1964,31
1965,18
1966,28
1967,29
1968,26
1969,24
1970,21
1971,32
1972,40
1973,34
1974,30
1975,46
1976,23
1977,26
1978,27
1979,46
1980,21
1981,37
1982,29
1983,34
1984,28
1985,29
1986,22
1987,29
1988,29
1989,20
1990,35
1991,27
1992,33
1993,28
1994,34
1995,33
1996,30
1997,21
1998,34
1999,34
2000,35
2001,27
2002,30
2003,30
2004,36
2005,19
2006,19
2007,21
2008,30
2009,23
2010,14
2011,15
2012,12
