year,Erline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,9
1898,5
1899,0
1900,8
1901,0
1902,5
1903,6
1904,5
1905,11
1906,12
1907,0
1908,10
1909,9
1910,16
1911,21
1912,14
1913,22
1914,26
1915,34
1916,49
1917,56
1918,50
1919,46
1920,61
1921,55
1922,65
1923,45
1924,66
1925,56
1926,53
1927,72
1928,43
1929,40
1930,41
1931,37
1932,47
1933,31
1934,30
1935,27
1936,33
1937,16
1938,23
1939,16
1940,16
1941,18
1942,18
1943,15
1944,15
1945,20
1946,20
1947,13
1948,16
1949,10
1950,17
1951,23
1952,17
1953,21
1954,19
1955,6
1956,7
1957,15
1958,8
1959,0
1960,6
1961,5
1962,5
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,6
1971,0
1972,5
1973,6
1974,0
1975,5
1976,5
1977,0
1978,6
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
