year,Elfrieda
1880,0
1881,0
1882,8
1883,0
1884,5
1885,7
1886,5
1887,12
1888,10
1889,11
1890,15
1891,11
1892,10
1893,18
1894,18
1895,19
1896,23
1897,19
1898,25
1899,19
1900,25
1901,14
1902,13
1903,12
1904,10
1905,16
1906,15
1907,8
1908,13
1909,24
1910,16
1911,19
1912,17
1913,38
1914,29
1915,52
1916,61
1917,67
1918,57
1919,45
1920,48
1921,42
1922,37
1923,24
1924,36
1925,33
1926,27
1927,30
1928,51
1929,36
1930,37
1931,28
1932,21
1933,19
1934,19
1935,17
1936,16
1937,19
1938,17
1939,11
1940,12
1941,10
1942,9
1943,9
1944,6
1945,6
1946,5
1947,6
1948,15
1949,7
1950,6
1951,9
1952,5
1953,0
1954,6
1955,0
1956,0
1957,0
1958,11
1959,11
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
