year,Ethyl
1880,8
1881,7
1882,9
1883,10
1884,16
1885,16
1886,12
1887,14
1888,35
1889,24
1890,25
1891,36
1892,41
1893,36
1894,36
1895,31
1896,39
1897,37
1898,32
1899,31
1900,29
1901,27
1902,39
1903,29
1904,34
1905,29
1906,31
1907,28
1908,33
1909,40
1910,34
1911,42
1912,40
1913,53
1914,82
1915,92
1916,81
1917,69
1918,79
1919,82
1920,50
1921,68
1922,51
1923,51
1924,52
1925,48
1926,52
1927,38
1928,29
1929,35
1930,32
1931,30
1932,17
1933,16
1934,17
1935,15
1936,24
1937,15
1938,24
1939,19
1940,17
1941,15
1942,20
1943,14
1944,14
1945,11
1946,15
1947,15
1948,10
1949,20
1950,14
1951,0
1952,10
1953,9
1954,10
1955,6
1956,5
1957,7
1958,5
1959,11
1960,0
1961,6
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
