year,Emmer
1880,11
1881,8
1882,13
1883,9
1884,15
1885,23
1886,17
1887,15
1888,16
1889,15
1890,16
1891,20
1892,23
1893,19
1894,15
1895,14
1896,22
1897,13
1898,18
1899,18
1900,25
1901,15
1902,21
1903,18
1904,23
1905,32
1906,21
1907,21
1908,20
1909,35
1910,34
1911,29
1912,28
1913,36
1914,37
1915,41
1916,41
1917,49
1918,43
1919,69
1920,52
1921,54
1922,43
1923,47
1924,65
1925,56
1926,74
1927,62
1928,57
1929,48
1930,23
1931,35
1932,54
1933,37
1934,32
1935,31
1936,22
1937,33
1938,18
1939,25
1940,30
1941,27
1942,32
1943,25
1944,17
1945,25
1946,24
1947,18
1948,19
1949,18
1950,12
1951,21
1952,13
1953,12
1954,8
1955,5
1956,5
1957,6
1958,0
1959,0
1960,6
1961,6
1962,6
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
