year,Elinore
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,8
1895,0
1896,7
1897,5
1898,0
1899,5
1900,0
1901,5
1902,5
1903,12
1904,7
1905,11
1906,10
1907,9
1908,13
1909,10
1910,18
1911,40
1912,25
1913,41
1914,62
1915,68
1916,78
1917,94
1918,92
1919,77
1920,72
1921,93
1922,83
1923,84
1924,92
1925,68
1926,55
1927,80
1928,57
1929,57
1930,47
1931,42
1932,30
1933,28
1934,33
1935,31
1936,41
1937,28
1938,30
1939,33
1940,30
1941,31
1942,24
1943,19
1944,17
1945,15
1946,14
1947,9
1948,12
1949,11
1950,11
1951,0
1952,8
1953,10
1954,8
1955,8
1956,5
1957,0
1958,6
1959,10
1960,7
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,8
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,11
1992,6
1993,0
1994,0
1995,0
1996,5
1997,6
1998,5
1999,10
2000,0
2001,7
2002,0
2003,10
2004,0
2005,7
2006,11
2007,0
2008,9
2009,5
2010,11
2011,6
2012,10
