year,Evlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,7
1906,7
1907,9
1908,8
1909,11
1910,14
1911,15
1912,21
1913,19
1914,16
1915,20
1916,30
1917,32
1918,22
1919,36
1920,32
1921,25
1922,18
1923,24
1924,29
1925,31
1926,31
1927,26
1928,15
1929,10
1930,15
1931,13
1932,18
1933,7
1934,19
1935,13
1936,11
1937,9
1938,8
1939,11
1940,12
1941,7
1942,10
1943,7
1944,12
1945,10
1946,11
1947,12
1948,0
1949,5
1950,11
1951,0
1952,0
1953,0
1954,7
1955,5
1956,7
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,6
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,5
2008,0
2009,10
2010,7
2011,13
2012,15
