year,Ellie (F),Ellie (M)
1880,0.000084,0.000000
1881,0.000140,0.000000
1882,0.000167,0.000000
1883,0.000111,0.000032
1884,0.000115,0.000025
1885,0.000104,0.000025
1886,0.000133,0.000035
1887,0.000158,0.000020
1888,0.000137,0.000023
1889,0.000118,0.000000
1890,0.000133,0.000000
1891,0.000133,0.000042
1892,0.000123,0.000021
1893,0.000145,0.000025
1894,0.000156,0.000000
1895,0.000105,0.000020
1896,0.000145,0.000025
1897,0.000127,0.000017
1898,0.000139,0.000024
1899,0.000141,0.000015
1900,0.000144,0.000024
1901,0.000174,0.000000
1902,0.000132,0.000028
1903,0.000126,0.000016
1904,0.000134,0.000000
1905,0.000127,0.000017
1906,0.000119,0.000026
1907,0.000120,0.000019
1908,0.000115,0.000023
1909,0.000074,0.000027
1910,0.000085,0.000019
1911,0.000073,0.000011
1912,0.000065,0.000013
1913,0.000071,0.000011
1914,0.000049,0.000016
1915,0.000049,0.000015
1916,0.000043,0.000013
1917,0.000042,0.000010
1918,0.000057,0.000012
1919,0.000042,0.000013
1920,0.000037,0.000011
1921,0.000036,0.000008
1922,0.000041,0.000012
1923,0.000036,0.000011
1924,0.000037,0.000011
1925,0.000039,0.000009
1926,0.000031,0.000006
1927,0.000028,0.000012
1928,0.000024,0.000006
1929,0.000025,0.000007
1930,0.000025,0.000012
1931,0.000020,0.000004
1932,0.000017,0.000009
1933,0.000023,0.000008
1934,0.000023,0.000008
1935,0.000021,0.000007
1936,0.000022,0.000005
1937,0.000023,0.000008
1938,0.000018,0.000008
1939,0.000017,0.000005
1940,0.000017,0.000006
1941,0.000018,0.000005
1942,0.000013,0.000005
1943,0.000013,0.000007
1944,0.000012,0.000007
1945,0.000016,0.000004
1946,0.000014,0.000006
1947,0.000012,0.000003
1948,0.000013,0.000004
1949,0.000011,0.000002
1950,0.000012,0.000003
1951,0.000012,0.000003
1952,0.000013,0.000002
1953,0.000015,0.000003
1954,0.000013,0.000003
1955,0.000015,0.000002
1956,0.000014,0.000002
1957,0.000013,0.000000
1958,0.000014,0.000004
1959,0.000016,0.000000
1960,0.000018,0.000000
1961,0.000014,0.000003
1962,0.000016,0.000002
1963,0.000019,0.000002
1964,0.000016,0.000000
1965,0.000017,0.000002
1966,0.000011,0.000002
1967,0.000012,0.000002
1968,0.000013,0.000000
1969,0.000015,0.000000
1970,0.000012,0.000001
1971,0.000009,0.000000
1972,0.000015,0.000000
1973,0.000018,0.000002
1974,0.000017,0.000000
1975,0.000023,0.000002
1976,0.000022,0.000000
1977,0.000019,0.000000
1978,0.000018,0.000000
1979,0.000025,0.000000
1980,0.000022,0.000000
1981,0.000023,0.000000
1982,0.000020,0.000000
1983,0.000021,0.000001
1984,0.000016,0.000001
1985,0.000013,0.000000
1986,0.000016,0.000000
1987,0.000024,0.000000
1988,0.000025,0.000001
1989,0.000033,0.000000
1990,0.000044,0.000001
1991,0.000043,0.000000
1992,0.000061,0.000000
1993,0.000067,0.000000
1994,0.000068,0.000000
1995,0.000098,0.000000
1996,0.000103,0.000000
1997,0.000118,0.000000
1998,0.000164,0.000000
1999,0.000192,0.000000
2000,0.000220,0.000000
2001,0.000242,0.000000
2002,0.000433,0.000002
2003,0.000455,0.000002
2004,0.000476,0.000002
2005,0.000492,0.000000
2006,0.000504,0.000002
2007,0.000504,0.000000
2008,0.000508,0.000001
2009,0.000586,0.000000
2010,0.000789,0.000001
2011,0.000838,0.000000
2012,0.000928,0.000002
2013,0.001036,0.000000
