year,Elizbeth
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,6
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,6
1899,0
1900,10
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,7
1908,6
1909,5
1910,0
1911,5
1912,0
1913,11
1914,8
1915,9
1916,8
1917,21
1918,12
1919,12
1920,16
1921,15
1922,20
1923,19
1924,15
1925,14
1926,21
1927,17
1928,14
1929,14
1930,13
1931,21
1932,16
1933,15
1934,6
1935,13
1936,15
1937,14
1938,7
1939,6
1940,13
1941,13
1942,10
1943,17
1944,12
1945,15
1946,15
1947,10
1948,7
1949,9
1950,10
1951,17
1952,8
1953,10
1954,9
1955,13
1956,17
1957,9
1958,11
1959,8
1960,27
1961,15
1962,18
1963,18
1964,19
1965,15
1966,7
1967,17
1968,14
1969,13
1970,9
1971,8
1972,11
1973,14
1974,9
1975,10
1976,7
1977,11
1978,7
1979,13
1980,14
1981,16
1982,10
1983,14
1984,12
1985,13
1986,5
1987,5
1988,7
1989,8
1990,9
1991,10
1992,13
1993,8
1994,8
1995,11
1996,9
1997,11
1998,18
1999,10
2000,7
2001,9
2002,10
2003,12
2004,9
2005,6
2006,9
2007,7
2008,0
2009,7
2010,8
2011,0
2012,5
