year,Elmo (F),Elmo (M)
1880,0.000000,0.000074
1881,0.000000,0.000047
1882,0.000000,0.000086
1883,0.000000,0.000074
1884,0.000000,0.000049
1885,0.000000,0.000058
1886,0.000000,0.000047
1887,0.000000,0.000032
1888,0.000000,0.000057
1889,0.000000,0.000045
1890,0.000000,0.000040
1891,0.000000,0.000052
1892,0.000000,0.000042
1893,0.000000,0.000049
1894,0.000000,0.000035
1895,0.000000,0.000074
1896,0.000000,0.000064
1897,0.000000,0.000061
1898,0.000000,0.000084
1899,0.000000,0.000059
1900,0.000000,0.000089
1901,0.000000,0.000084
1902,0.000000,0.000070
1903,0.000000,0.000071
1904,0.000000,0.000067
1905,0.000000,0.000064
1906,0.000014,0.000117
1907,0.000000,0.000125
1908,0.000000,0.000104
1909,0.000014,0.000156
1910,0.000008,0.000146
1911,0.000012,0.000161
1912,0.000013,0.000171
1913,0.000014,0.000173
1914,0.000005,0.000174
1915,0.000007,0.000156
1916,0.000010,0.000188
1917,0.000009,0.000182
1918,0.000005,0.000154
1919,0.000006,0.000154
1920,0.000005,0.000175
1921,0.000004,0.000158
1922,0.000006,0.000138
1923,0.000004,0.000147
1924,0.000004,0.000131
1925,0.000007,0.000117
1926,0.000004,0.000106
1927,0.000000,0.000101
1928,0.000003,0.000104
1929,0.000005,0.000078
1930,0.000000,0.000082
1931,0.000000,0.000065
1932,0.000000,0.000075
1933,0.000003,0.000075
1934,0.000000,0.000066
1935,0.000000,0.000071
1936,0.000003,0.000069
1937,0.000002,0.000060
1938,0.000000,0.000062
1939,0.000000,0.000051
1940,0.000000,0.000045
1941,0.000000,0.000047
1942,0.000000,0.000046
1943,0.000000,0.000043
1944,0.000000,0.000043
1945,0.000000,0.000029
1946,0.000000,0.000031
1947,0.000000,0.000028
1948,0.000000,0.000027
1949,0.000000,0.000020
1950,0.000000,0.000022
1951,0.000000,0.000023
1952,0.000000,0.000017
1953,0.000000,0.000018
1954,0.000000,0.000020
1955,0.000000,0.000018
1956,0.000000,0.000016
1957,0.000000,0.000015
1958,0.000000,0.000013
1959,0.000000,0.000014
1960,0.000000,0.000012
1961,0.000000,0.000012
1962,0.000000,0.000010
1963,0.000000,0.000010
1964,0.000000,0.000012
1965,0.000000,0.000008
1966,0.000000,0.000009
1967,0.000000,0.000009
1968,0.000000,0.000008
1969,0.000000,0.000010
1970,0.000000,0.000007
1971,0.000000,0.000006
1972,0.000000,0.000009
1973,0.000000,0.000006
1974,0.000000,0.000006
1975,0.000000,0.000007
1976,0.000000,0.000009
1977,0.000000,0.000005
1978,0.000000,0.000005
1979,0.000000,0.000005
1980,0.000000,0.000003
1981,0.000000,0.000005
1982,0.000000,0.000004
1983,0.000000,0.000005
1984,0.000000,0.000004
1985,0.000000,0.000003
1986,0.000000,0.000004
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000002
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000005
1995,0.000000,0.000000
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000000
2001,0.000000,0.000003
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000001
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
