year,Erlinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,6
1903,6
1904,0
1905,0
1906,0
1907,0
1908,6
1909,9
1910,8
1911,5
1912,6
1913,9
1914,8
1915,15
1916,14
1917,18
1918,22
1919,26
1920,35
1921,44
1922,33
1923,42
1924,58
1925,39
1926,56
1927,55
1928,58
1929,62
1930,65
1931,54
1932,49
1933,37
1934,50
1935,67
1936,53
1937,62
1938,75
1939,51
1940,61
1941,70
1942,65
1943,76
1944,71
1945,90
1946,94
1947,129
1948,140
1949,171
1950,133
1951,123
1952,99
1953,116
1954,98
1955,69
1956,99
1957,94
1958,88
1959,72
1960,83
1961,75
1962,58
1963,73
1964,55
1965,52
1966,45
1967,52
1968,36
1969,42
1970,40
1971,28
1972,33
1973,36
1974,34
1975,36
1976,42
1977,26
1978,24
1979,30
1980,33
1981,20
1982,32
1983,27
1984,34
1985,23
1986,26
1987,19
1988,25
1989,20
1990,25
1991,18
1992,16
1993,11
1994,13
1995,16
1996,11
1997,11
1998,11
1999,8
2000,15
2001,11
2002,15
2003,22
2004,5
2005,10
2006,8
2007,9
2008,12
2009,9
2010,10
2011,7
2012,5
