year,Elizebeth
1880,18
1881,8
1882,12
1883,15
1884,17
1885,22
1886,22
1887,17
1888,23
1889,21
1890,17
1891,16
1892,24
1893,22
1894,19
1895,20
1896,25
1897,18
1898,15
1899,23
1900,24
1901,22
1902,23
1903,17
1904,10
1905,19
1906,10
1907,19
1908,22
1909,35
1910,28
1911,16
1912,41
1913,32
1914,51
1915,58
1916,62
1917,74
1918,63
1919,74
1920,81
1921,68
1922,62
1923,75
1924,87
1925,80
1926,91
1927,85
1928,95
1929,91
1930,61
1931,61
1932,49
1933,54
1934,41
1935,49
1936,45
1937,53
1938,38
1939,45
1940,35
1941,34
1942,38
1943,35
1944,39
1945,28
1946,27
1947,37
1948,35
1949,46
1950,39
1951,30
1952,42
1953,35
1954,40
1955,37
1956,25
1957,32
1958,50
1959,52
1960,57
1961,58
1962,60
1963,47
1964,49
1965,48
1966,48
1967,31
1968,37
1969,41
1970,43
1971,36
1972,26
1973,26
1974,25
1975,27
1976,25
1977,41
1978,34
1979,27
1980,24
1981,28
1982,24
1983,24
1984,25
1985,30
1986,22
1987,32
1988,17
1989,12
1990,21
1991,20
1992,20
1993,13
1994,15
1995,24
1996,24
1997,19
1998,25
1999,29
2000,24
2001,27
2002,17
2003,17
2004,13
2005,16
2006,23
2007,11
2008,12
2009,17
2010,11
2011,13
2012,8
