year,Eliud
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,6
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,9
1955,5
1956,8
1957,0
1958,6
1959,10
1960,5
1961,8
1962,12
1963,6
1964,9
1965,9
1966,15
1967,14
1968,5
1969,13
1970,10
1971,17
1972,14
1973,17
1974,12
1975,27
1976,11
1977,13
1978,14
1979,17
1980,19
1981,15
1982,19
1983,11
1984,16
1985,14
1986,19
1987,10
1988,20
1989,23
1990,31
1991,29
1992,24
1993,24
1994,31
1995,31
1996,29
1997,20
1998,28
1999,37
2000,43
2001,33
2002,36
2003,35
2004,34
2005,40
2006,36
2007,40
2008,43
2009,26
2010,34
2011,28
2012,35
