year,Elysa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,5
1952,9
1953,10
1954,14
1955,13
1956,6
1957,8
1958,8
1959,10
1960,12
1961,14
1962,5
1963,11
1964,12
1965,12
1966,12
1967,22
1968,6
1969,12
1970,12
1971,13
1972,12
1973,6
1974,11
1975,6
1976,11
1977,16
1978,6
1979,7
1980,13
1981,21
1982,14
1983,13
1984,26
1985,17
1986,37
1987,35
1988,32
1989,42
1990,29
1991,26
1992,29
1993,18
1994,26
1995,32
1996,28
1997,42
1998,24
1999,46
2000,32
2001,47
2002,29
2003,37
2004,50
2005,38
2006,36
2007,35
2008,40
2009,32
2010,25
2011,21
2012,31
