year,Ernesto (F),Ernesto (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000032
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000016
1907,0.000000,0.000011
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000020
1911,0.000000,0.000028
1912,0.000000,0.000029
1913,0.000000,0.000030
1914,0.000000,0.000025
1915,0.000000,0.000027
1916,0.000000,0.000029
1917,0.000000,0.000030
1918,0.000000,0.000028
1919,0.000000,0.000045
1920,0.000000,0.000034
1921,0.000000,0.000045
1922,0.000000,0.000046
1923,0.000000,0.000057
1924,0.000000,0.000054
1925,0.000000,0.000051
1926,0.000000,0.000060
1927,0.000000,0.000051
1928,0.000000,0.000063
1929,0.000000,0.000067
1930,0.000000,0.000076
1931,0.000000,0.000068
1932,0.000000,0.000060
1933,0.000000,0.000057
1934,0.000000,0.000070
1935,0.000000,0.000062
1936,0.000000,0.000067
1937,0.000000,0.000048
1938,0.000000,0.000053
1939,0.000000,0.000064
1940,0.000000,0.000053
1941,0.000000,0.000051
1942,0.000000,0.000060
1943,0.000000,0.000051
1944,0.000000,0.000059
1945,0.000000,0.000068
1946,0.000000,0.000060
1947,0.000000,0.000056
1948,0.000000,0.000069
1949,0.000000,0.000075
1950,0.000000,0.000080
1951,0.000000,0.000066
1952,0.000000,0.000071
1953,0.000000,0.000068
1954,0.000000,0.000059
1955,0.000000,0.000066
1956,0.000000,0.000077
1957,0.000000,0.000080
1958,0.000000,0.000078
1959,0.000000,0.000081
1960,0.000000,0.000085
1961,0.000000,0.000069
1962,0.000000,0.000091
1963,0.000002,0.000093
1964,0.000001,0.000097
1965,0.000000,0.000098
1966,0.000000,0.000102
1967,0.000000,0.000102
1968,0.000000,0.000120
1969,0.000000,0.000113
1970,0.000001,0.000125
1971,0.000000,0.000147
1972,0.000002,0.000143
1973,0.000000,0.000153
1974,0.000002,0.000159
1975,0.000002,0.000167
1976,0.000002,0.000183
1977,0.000002,0.000173
1978,0.000000,0.000178
1979,0.000000,0.000167
1980,0.000000,0.000187
1981,0.000000,0.000200
1982,0.000001,0.000182
1983,0.000001,0.000185
1984,0.000002,0.000174
1985,0.000003,0.000177
1986,0.000002,0.000179
1987,0.000000,0.000173
1988,0.000000,0.000205
1989,0.000002,0.000203
1990,0.000002,0.000208
1991,0.000001,0.000211
1992,0.000002,0.000221
1993,0.000000,0.000216
1994,0.000002,0.000220
1995,0.000000,0.000212
1996,0.000000,0.000212
1997,0.000000,0.000220
1998,0.000000,0.000220
1999,0.000000,0.000226
2000,0.000000,0.000210
2001,0.000000,0.000227
2002,0.000000,0.000228
2003,0.000000,0.000225
2004,0.000000,0.000214
2005,0.000000,0.000209
2006,0.000001,0.000200
2007,0.000000,0.000183
2008,0.000000,0.000184
2009,0.000000,0.000154
2010,0.000000,0.000144
2011,0.000000,0.000146
2012,0.000000,0.000131
