year,Elliot (F),Elliot (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000028
1892,0.000000,0.000030
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000031
1899,0.000000,0.000038
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000018
1904,0.000000,0.000022
1905,0.000000,0.000024
1906,0.000000,0.000012
1907,0.000000,0.000017
1908,0.000000,0.000000
1909,0.000000,0.000016
1910,0.000000,0.000029
1911,0.000000,0.000026
1912,0.000000,0.000016
1913,0.000000,0.000033
1914,0.000000,0.000037
1915,0.000000,0.000027
1916,0.000000,0.000032
1917,0.000000,0.000027
1918,0.000000,0.000031
1919,0.000000,0.000038
1920,0.000000,0.000034
1921,0.000000,0.000036
1922,0.000000,0.000028
1923,0.000000,0.000039
1924,0.000000,0.000050
1925,0.000000,0.000033
1926,0.000000,0.000039
1927,0.000000,0.000041
1928,0.000000,0.000036
1929,0.000000,0.000028
1930,0.000000,0.000033
1931,0.000000,0.000031
1932,0.000000,0.000038
1933,0.000000,0.000049
1934,0.000000,0.000038
1935,0.000000,0.000030
1936,0.000000,0.000039
1937,0.000000,0.000042
1938,0.000000,0.000037
1939,0.000000,0.000040
1940,0.000000,0.000039
1941,0.000000,0.000048
1942,0.000000,0.000048
1943,0.000000,0.000052
1944,0.000000,0.000047
1945,0.000000,0.000059
1946,0.000000,0.000059
1947,0.000000,0.000064
1948,0.000000,0.000075
1949,0.000000,0.000056
1950,0.000000,0.000055
1951,0.000000,0.000058
1952,0.000000,0.000055
1953,0.000000,0.000040
1954,0.000000,0.000040
1955,0.000000,0.000034
1956,0.000000,0.000034
1957,0.000000,0.000034
1958,0.000000,0.000033
1959,0.000000,0.000028
1960,0.000000,0.000038
1961,0.000001,0.000045
1962,0.000000,0.000039
1963,0.000000,0.000035
1964,0.000000,0.000033
1965,0.000000,0.000045
1966,0.000000,0.000036
1967,0.000000,0.000040
1968,0.000000,0.000041
1969,0.000000,0.000045
1970,0.000000,0.000041
1971,0.000000,0.000047
1972,0.000000,0.000049
1973,0.000000,0.000060
1974,0.000000,0.000070
1975,0.000000,0.000071
1976,0.000000,0.000071
1977,0.000000,0.000064
1978,0.000000,0.000068
1979,0.000000,0.000073
1980,0.000000,0.000079
1981,0.000000,0.000077
1982,0.000002,0.000115
1983,0.000000,0.000162
1984,0.000000,0.000130
1985,0.000001,0.000128
1986,0.000000,0.000109
1987,0.000002,0.000115
1988,0.000003,0.000135
1989,0.000002,0.000197
1990,0.000002,0.000160
1991,0.000002,0.000156
1992,0.000003,0.000146
1993,0.000003,0.000155
1994,0.000002,0.000141
1995,0.000004,0.000142
1996,0.000003,0.000126
1997,0.000004,0.000128
1998,0.000003,0.000131
1999,0.000003,0.000116
2000,0.000004,0.000133
2001,0.000003,0.000144
2002,0.000008,0.000152
2003,0.000013,0.000161
2004,0.000021,0.000174
2005,0.000026,0.000195
2006,0.000025,0.000205
2007,0.000038,0.000221
2008,0.000047,0.000255
2009,0.000045,0.000291
2010,0.000057,0.000292
2011,0.000082,0.000352
2012,0.000085,0.000410
2013,0.000085,0.000413
2014,0.000099,0.000478
2015,0.000122,0.000517
2016,0.000129,0.000611
2017,0.000138,0.000681
2018,0.000134,0.000676
2019,0.000147,0.000648
2020,0.000153,0.000697
