year,Ethelyn
1880,14
1881,11
1882,15
1883,12
1884,11
1885,15
1886,19
1887,14
1888,18
1889,13
1890,9
1891,20
1892,15
1893,18
1894,33
1895,27
1896,28
1897,26
1898,39
1899,26
1900,29
1901,24
1902,31
1903,30
1904,43
1905,33
1906,38
1907,42
1908,55
1909,45
1910,65
1911,69
1912,81
1913,77
1914,95
1915,147
1916,151
1917,164
1918,152
1919,99
1920,168
1921,146
1922,137
1923,119
1924,127
1925,128
1926,111
1927,111
1928,109
1929,95
1930,84
1931,77
1932,75
1933,66
1934,63
1935,56
1936,47
1937,61
1938,58
1939,38
1940,35
1941,47
1942,41
1943,41
1944,48
1945,26
1946,31
1947,40
1948,38
1949,26
1950,25
1951,34
1952,34
1953,26
1954,18
1955,23
1956,16
1957,15
1958,22
1959,13
1960,12
1961,14
1962,16
1963,10
1964,11
1965,9
1966,7
1967,5
1968,10
1969,6
1970,0
1971,0
1972,6
1973,0
1974,5
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
