year,Elijah (F),Elijah (M)
1880,0.000000,0.000496
1881,0.000000,0.000358
1882,0.000000,0.000501
1883,0.000000,0.000424
1884,0.000000,0.000349
1885,0.000000,0.000340
1886,0.000000,0.000364
1887,0.000000,0.000303
1888,0.000000,0.000294
1889,0.000000,0.000211
1890,0.000000,0.000212
1891,0.000000,0.000199
1892,0.000000,0.000254
1893,0.000000,0.000237
1894,0.000000,0.000159
1895,0.000000,0.000214
1896,0.000000,0.000243
1897,0.000000,0.000187
1898,0.000000,0.000199
1899,0.000000,0.000189
1900,0.000000,0.000191
1901,0.000000,0.000228
1902,0.000000,0.000171
1903,0.000000,0.000152
1904,0.000000,0.000149
1905,0.000000,0.000191
1906,0.000000,0.000152
1907,0.000000,0.000163
1908,0.000000,0.000131
1909,0.000000,0.000176
1910,0.000000,0.000171
1911,0.000000,0.000146
1912,0.000000,0.000144
1913,0.000000,0.000131
1914,0.000000,0.000132
1915,0.000000,0.000133
1916,0.000000,0.000120
1917,0.000000,0.000128
1918,0.000000,0.000122
1919,0.000000,0.000140
1920,0.000000,0.000122
1921,0.000000,0.000110
1922,0.000000,0.000136
1923,0.000000,0.000131
1924,0.000000,0.000110
1925,0.000000,0.000122
1926,0.000003,0.000120
1927,0.000000,0.000125
1928,0.000000,0.000113
1929,0.000002,0.000111
1930,0.000000,0.000101
1931,0.000000,0.000094
1932,0.000000,0.000111
1933,0.000000,0.000097
1934,0.000000,0.000100
1935,0.000000,0.000101
1936,0.000000,0.000106
1937,0.000003,0.000099
1938,0.000000,0.000088
1939,0.000000,0.000108
1940,0.000000,0.000087
1941,0.000000,0.000098
1942,0.000000,0.000090
1943,0.000000,0.000078
1944,0.000000,0.000085
1945,0.000000,0.000089
1946,0.000000,0.000069
1947,0.000000,0.000082
1948,0.000001,0.000070
1949,0.000000,0.000077
1950,0.000000,0.000081
1951,0.000000,0.000060
1952,0.000000,0.000069
1953,0.000000,0.000064
1954,0.000000,0.000064
1955,0.000000,0.000059
1956,0.000000,0.000047
1957,0.000000,0.000053
1958,0.000000,0.000050
1959,0.000000,0.000045
1960,0.000000,0.000043
1961,0.000000,0.000047
1962,0.000000,0.000044
1963,0.000000,0.000038
1964,0.000000,0.000041
1965,0.000000,0.000034
1966,0.000000,0.000040
1967,0.000000,0.000040
1968,0.000000,0.000036
1969,0.000000,0.000041
1970,0.000000,0.000051
1971,0.000000,0.000057
1972,0.000000,0.000067
1973,0.000000,0.000071
1974,0.000000,0.000094
1975,0.000000,0.000087
1976,0.000003,0.000099
1977,0.000002,0.000159
1978,0.000002,0.000172
1979,0.000002,0.000209
1980,0.000001,0.000219
1981,0.000002,0.000217
1982,0.000003,0.000210
1983,0.000003,0.000194
1984,0.000001,0.000180
1985,0.000002,0.000191
1986,0.000003,0.000202
1987,0.000002,0.000207
1988,0.000002,0.000239
1989,0.000003,0.000258
1990,0.000003,0.000288
1991,0.000004,0.000346
1992,0.000005,0.000395
1993,0.000003,0.000499
1994,0.000006,0.000705
1995,0.000010,0.001087
1996,0.000010,0.001320
1997,0.000009,0.001403
1998,0.000014,0.001540
1999,0.000010,0.001786
2000,0.000007,0.001976
2001,0.000011,0.002228
2002,0.000010,0.002691
2003,0.000012,0.002806
2004,0.000020,0.003066
2005,0.000010,0.003020
2006,0.000010,0.003045
2007,0.000010,0.003104
2008,0.000011,0.003366
2009,0.000009,0.003357
2010,0.000013,0.003762
2011,0.000009,0.003820
2012,0.000007,0.003789
