year,Emmeline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,0
1904,9
1905,5
1906,5
1907,0
1908,0
1909,0
1910,0
1911,5
1912,5
1913,11
1914,7
1915,17
1916,12
1917,9
1918,13
1919,12
1920,8
1921,22
1922,12
1923,6
1924,16
1925,7
1926,6
1927,8
1928,6
1929,8
1930,0
1931,8
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,7
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,7
1970,6
1971,0
1972,5
1973,10
1974,8
1975,12
1976,10
1977,9
1978,8
1979,0
1980,11
1981,16
1982,17
1983,13
1984,10
1985,13
1986,14
1987,24
1988,24
1989,32
1990,29
1991,25
1992,41
1993,38
1994,33
1995,30
1996,33
1997,31
1998,44
1999,50
2000,56
2001,58
2002,74
2003,71
2004,45
2005,51
2006,57
2007,61
2008,94
2009,125
2010,140
2011,159
2012,229
