year,Elmon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,6
1912,12
1913,7
1914,17
1915,15
1916,17
1917,15
1918,14
1919,17
1920,13
1921,23
1922,27
1923,17
1924,14
1925,22
1926,15
1927,10
1928,16
1929,11
1930,15
1931,18
1932,16
1933,6
1934,5
1935,14
1936,11
1937,12
1938,9
1939,10
1940,9
1941,9
1942,12
1943,14
1944,9
1945,6
1946,10
1947,8
1948,7
1949,8
1950,6
1951,12
1952,7
1953,7
1954,5
1955,0
1956,7
1957,6
1958,0
1959,5
1960,5
1961,0
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,5
1971,0
1972,0
1973,6
1974,6
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
