year,Elisabet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,9
1962,7
1963,5
1964,0
1965,0
1966,9
1967,6
1968,0
1969,0
1970,7
1971,12
1972,16
1973,16
1974,8
1975,19
1976,16
1977,25
1978,18
1979,34
1980,43
1981,31
1982,29
1983,34
1984,30
1985,34
1986,30
1987,24
1988,21
1989,52
1990,40
1991,45
1992,27
1993,39
1994,45
1995,31
1996,26
1997,23
1998,37
1999,27
2000,36
2001,21
2002,32
2003,18
2004,36
2005,29
2006,40
2007,39
2008,41
2009,32
2010,25
2011,33
2012,23
