year,Eddy (F),Eddy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000000,0.000024
1906,0.000000,0.000012
1907,0.000000,0.000015
1908,0.000000,0.000012
1909,0.000000,0.000016
1910,0.000000,0.000020
1911,0.000000,0.000000
1912,0.000000,0.000012
1913,0.000000,0.000008
1914,0.000000,0.000013
1915,0.000000,0.000008
1916,0.000000,0.000009
1917,0.000000,0.000011
1918,0.000000,0.000008
1919,0.000000,0.000010
1920,0.000000,0.000012
1921,0.000000,0.000012
1922,0.000000,0.000011
1923,0.000000,0.000015
1924,0.000000,0.000011
1925,0.000000,0.000020
1926,0.000004,0.000017
1927,0.000002,0.000016
1928,0.000003,0.000017
1929,0.000003,0.000025
1930,0.000000,0.000030
1931,0.000002,0.000029
1932,0.000002,0.000030
1933,0.000000,0.000027
1934,0.000000,0.000029
1935,0.000003,0.000030
1936,0.000003,0.000039
1937,0.000002,0.000052
1938,0.000000,0.000044
1939,0.000000,0.000049
1940,0.000003,0.000042
1941,0.000005,0.000047
1942,0.000003,0.000048
1943,0.000004,0.000050
1944,0.000002,0.000056
1945,0.000000,0.000055
1946,0.000004,0.000062
1947,0.000002,0.000062
1948,0.000000,0.000063
1949,0.000002,0.000054
1950,0.000003,0.000056
1951,0.000002,0.000048
1952,0.000002,0.000056
1953,0.000002,0.000053
1954,0.000002,0.000055
1955,0.000001,0.000057
1956,0.000002,0.000060
1957,0.000000,0.000055
1958,0.000001,0.000055
1959,0.000000,0.000058
1960,0.000001,0.000052
1961,0.000002,0.000058
1962,0.000002,0.000048
1963,0.000000,0.000058
1964,0.000001,0.000046
1965,0.000000,0.000047
1966,0.000002,0.000042
1967,0.000000,0.000042
1968,0.000000,0.000044
1969,0.000000,0.000039
1970,0.000000,0.000042
1971,0.000001,0.000038
1972,0.000000,0.000030
1973,0.000002,0.000038
1974,0.000002,0.000034
1975,0.000000,0.000025
1976,0.000002,0.000028
1977,0.000000,0.000027
1978,0.000000,0.000024
1979,0.000000,0.000027
1980,0.000001,0.000030
1981,0.000000,0.000023
1982,0.000000,0.000027
1983,0.000000,0.000023
1984,0.000000,0.000029
1985,0.000000,0.000024
1986,0.000001,0.000030
1987,0.000002,0.000028
1988,0.000000,0.000032
1989,0.000000,0.000034
1990,0.000001,0.000032
1991,0.000002,0.000037
1992,0.000002,0.000043
1993,0.000000,0.000042
1994,0.000000,0.000035
1995,0.000001,0.000034
1996,0.000001,0.000038
1997,0.000000,0.000040
1998,0.000000,0.000029
1999,0.000001,0.000033
2000,0.000000,0.000031
2001,0.000001,0.000034
2002,0.000001,0.000045
2003,0.000000,0.000038
2004,0.000000,0.000049
2005,0.000000,0.000043
2006,0.000000,0.000058
2007,0.000000,0.000042
2008,0.000001,0.000043
2009,0.000001,0.000051
2010,0.000000,0.000045
2011,0.000000,0.000049
2012,0.000000,0.000048
2013,0.000001,0.000041
2014,0.000000,0.000038
2015,0.000002,0.000032
2016,0.000000,0.000038
2017,0.000002,0.000032
2018,0.000002,0.000033
2019,0.000002,0.000030
2020,0.000002,0.000030
