year,Ellena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,7
1890,5
1891,0
1892,0
1893,0
1894,5
1895,9
1896,0
1897,0
1898,8
1899,5
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,9
1910,6
1911,5
1912,7
1913,6
1914,21
1915,18
1916,14
1917,13
1918,18
1919,13
1920,15
1921,17
1922,8
1923,16
1924,14
1925,18
1926,18
1927,11
1928,12
1929,11
1930,10
1931,7
1932,11
1933,5
1934,9
1935,14
1936,9
1937,13
1938,11
1939,9
1940,11
1941,10
1942,11
1943,15
1944,0
1945,7
1946,11
1947,10
1948,11
1949,21
1950,11
1951,14
1952,20
1953,13
1954,11
1955,11
1956,8
1957,11
1958,9
1959,10
1960,15
1961,10
1962,13
1963,9
1964,20
1965,12
1966,10
1967,12
1968,15
1969,7
1970,10
1971,14
1972,9
1973,13
1974,11
1975,15
1976,14
1977,10
1978,10
1979,9
1980,15
1981,20
1982,11
1983,9
1984,10
1985,7
1986,9
1987,10
1988,14
1989,14
1990,9
1991,19
1992,16
1993,19
1994,23
1995,27
1996,26
1997,17
1998,22
1999,47
2000,23
2001,33
2002,34
2003,25
2004,44
2005,35
2006,52
2007,50
2008,45
2009,40
2010,42
2011,46
2012,67
