year,Enedina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,7
1916,8
1917,8
1918,6
1919,10
1920,14
1921,15
1922,10
1923,29
1924,31
1925,41
1926,42
1927,53
1928,47
1929,46
1930,38
1931,21
1932,36
1933,29
1934,41
1935,41
1936,37
1937,31
1938,37
1939,21
1940,35
1941,37
1942,26
1943,39
1944,19
1945,41
1946,41
1947,41
1948,46
1949,53
1950,39
1951,40
1952,31
1953,30
1954,43
1955,53
1956,30
1957,37
1958,39
1959,32
1960,32
1961,29
1962,26
1963,43
1964,29
1965,26
1966,35
1967,23
1968,29
1969,19
1970,32
1971,20
1972,29
1973,24
1974,31
1975,19
1976,29
1977,27
1978,25
1979,26
1980,32
1981,34
1982,35
1983,25
1984,21
1985,25
1986,24
1987,25
1988,22
1989,28
1990,39
1991,27
1992,20
1993,30
1994,26
1995,27
1996,28
1997,26
1998,21
1999,18
2000,21
2001,13
2002,9
2003,19
2004,10
2005,11
2006,14
2007,10
2008,12
2009,12
2010,9
2011,18
2012,8
