year,Everette (F),Everette (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000065
1884,0.000000,0.000000
1885,0.000000,0.000054
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000027
1889,0.000000,0.000035
1890,0.000000,0.000023
1891,0.000000,0.000024
1892,0.000000,0.000039
1893,0.000000,0.000028
1894,0.000000,0.000021
1895,0.000000,0.000026
1896,0.000000,0.000036
1897,0.000000,0.000043
1898,0.000000,0.000047
1899,0.000000,0.000050
1900,0.000000,0.000036
1901,0.000000,0.000046
1902,0.000000,0.000031
1903,0.000000,0.000034
1904,0.000000,0.000035
1905,0.000000,0.000054
1906,0.000000,0.000047
1907,0.000000,0.000030
1908,0.000000,0.000039
1909,0.000000,0.000045
1910,0.000000,0.000058
1911,0.000000,0.000042
1912,0.000000,0.000058
1913,0.000000,0.000047
1914,0.000000,0.000069
1915,0.000000,0.000081
1916,0.000000,0.000074
1917,0.000000,0.000073
1918,0.000002,0.000079
1919,0.000000,0.000100
1920,0.000000,0.000073
1921,0.000000,0.000086
1922,0.000000,0.000081
1923,0.000002,0.000082
1924,0.000000,0.000074
1925,0.000000,0.000071
1926,0.000002,0.000081
1927,0.000000,0.000075
1928,0.000000,0.000075
1929,0.000002,0.000079
1930,0.000000,0.000060
1931,0.000000,0.000079
1932,0.000002,0.000063
1933,0.000000,0.000072
1934,0.000000,0.000061
1935,0.000000,0.000066
1936,0.000000,0.000063
1937,0.000000,0.000057
1938,0.000000,0.000060
1939,0.000000,0.000058
1940,0.000000,0.000053
1941,0.000000,0.000049
1942,0.000000,0.000051
1943,0.000000,0.000046
1944,0.000000,0.000058
1945,0.000000,0.000040
1946,0.000000,0.000041
1947,0.000001,0.000037
1948,0.000001,0.000036
1949,0.000000,0.000027
1950,0.000000,0.000035
1951,0.000001,0.000030
1952,0.000000,0.000026
1953,0.000000,0.000028
1954,0.000000,0.000029
1955,0.000000,0.000019
1956,0.000000,0.000028
1957,0.000000,0.000025
1958,0.000000,0.000018
1959,0.000000,0.000021
1960,0.000000,0.000023
1961,0.000000,0.000026
1962,0.000000,0.000029
1963,0.000000,0.000030
1964,0.000000,0.000030
1965,0.000000,0.000031
1966,0.000000,0.000024
1967,0.000000,0.000024
1968,0.000000,0.000029
1969,0.000000,0.000026
1970,0.000000,0.000025
1971,0.000000,0.000026
1972,0.000000,0.000029
1973,0.000000,0.000021
1974,0.000000,0.000021
1975,0.000000,0.000021
1976,0.000000,0.000019
1977,0.000000,0.000019
1978,0.000000,0.000020
1979,0.000000,0.000015
1980,0.000000,0.000019
1981,0.000000,0.000014
1982,0.000000,0.000016
1983,0.000000,0.000014
1984,0.000000,0.000012
1985,0.000000,0.000017
1986,0.000000,0.000014
1987,0.000000,0.000012
1988,0.000000,0.000014
1989,0.000000,0.000015
1990,0.000000,0.000014
1991,0.000000,0.000012
1992,0.000000,0.000013
1993,0.000000,0.000010
1994,0.000000,0.000010
1995,0.000000,0.000011
1996,0.000000,0.000009
1997,0.000000,0.000009
1998,0.000000,0.000008
1999,0.000000,0.000014
2000,0.000000,0.000011
2001,0.000000,0.000007
2002,0.000000,0.000008
2003,0.000000,0.000007
2004,0.000000,0.000008
2005,0.000001,0.000005
2006,0.000000,0.000008
2007,0.000000,0.000008
2008,0.000002,0.000011
2009,0.000001,0.000009
2010,0.000001,0.000010
2011,0.000002,0.000012
2012,0.000003,0.000012
2013,0.000003,0.000014
