year,Elisabeth (F),Elisabeth (M)
1880,0.000119,0.000000
1881,0.000130,0.000000
1882,0.000131,0.000000
1883,0.000120,0.000000
1884,0.000131,0.000000
1885,0.000133,0.000000
1886,0.000168,0.000000
1887,0.000133,0.000000
1888,0.000110,0.000000
1889,0.000156,0.000000
1890,0.000076,0.000000
1891,0.000094,0.000000
1892,0.000164,0.000000
1893,0.000148,0.000000
1894,0.000171,0.000000
1895,0.000122,0.000000
1896,0.000140,0.000000
1897,0.000164,0.000000
1898,0.000173,0.000000
1899,0.000153,0.000000
1900,0.000120,0.000000
1901,0.000147,0.000000
1902,0.000129,0.000000
1903,0.000157,0.000000
1904,0.000131,0.000000
1905,0.000208,0.000000
1906,0.000191,0.000000
1907,0.000193,0.000000
1908,0.000182,0.000000
1909,0.000182,0.000000
1910,0.000173,0.000000
1911,0.000149,0.000000
1912,0.000133,0.000000
1913,0.000158,0.000000
1914,0.000153,0.000000
1915,0.000142,0.000000
1916,0.000144,0.000000
1917,0.000165,0.000000
1918,0.000134,0.000000
1919,0.000129,0.000000
1920,0.000114,0.000000
1921,0.000105,0.000000
1922,0.000097,0.000000
1923,0.000082,0.000000
1924,0.000084,0.000000
1925,0.000079,0.000000
1926,0.000079,0.000000
1927,0.000076,0.000000
1928,0.000069,0.000000
1929,0.000070,0.000000
1930,0.000066,0.000000
1931,0.000074,0.000000
1932,0.000054,0.000000
1933,0.000062,0.000000
1934,0.000059,0.000000
1935,0.000052,0.000000
1936,0.000058,0.000000
1937,0.000064,0.000000
1938,0.000059,0.000000
1939,0.000058,0.000000
1940,0.000050,0.000000
1941,0.000057,0.000000
1942,0.000055,0.000000
1943,0.000052,0.000000
1944,0.000056,0.000000
1945,0.000056,0.000000
1946,0.000046,0.000000
1947,0.000058,0.000000
1948,0.000051,0.000000
1949,0.000052,0.000000
1950,0.000053,0.000000
1951,0.000050,0.000000
1952,0.000052,0.000000
1953,0.000057,0.000000
1954,0.000065,0.000000
1955,0.000057,0.000000
1956,0.000076,0.000000
1957,0.000075,0.000000
1958,0.000080,0.000000
1959,0.000078,0.000000
1960,0.000090,0.000000
1961,0.000089,0.000000
1962,0.000099,0.000000
1963,0.000117,0.000000
1964,0.000112,0.000000
1965,0.000126,0.000000
1966,0.000128,0.000000
1967,0.000137,0.000000
1968,0.000128,0.000000
1969,0.000119,0.000000
1970,0.000118,0.000000
1971,0.000116,0.000000
1972,0.000112,0.000000
1973,0.000123,0.000000
1974,0.000136,0.000000
1975,0.000153,0.000000
1976,0.000164,0.000000
1977,0.000181,0.000000
1978,0.000185,0.000000
1979,0.000188,0.000002
1980,0.000218,0.000000
1981,0.000212,0.000000
1982,0.000228,0.000002
1983,0.000204,0.000000
1984,0.000227,0.000000
1985,0.000216,0.000001
1986,0.000198,0.000000
1987,0.000200,0.000000
1988,0.000193,0.000000
1989,0.000211,0.000003
1990,0.000194,0.000000
1991,0.000189,0.000000
1992,0.000198,0.000000
1993,0.000209,0.000000
1994,0.000196,0.000000
1995,0.000191,0.000000
1996,0.000203,0.000000
1997,0.000238,0.000000
1998,0.000201,0.000000
1999,0.000188,0.000000
2000,0.000195,0.000000
2001,0.000292,0.000000
2002,0.000220,0.000000
2003,0.000186,0.000000
2004,0.000183,0.000000
2005,0.000178,0.000000
2006,0.000155,0.000000
2007,0.000156,0.000000
2008,0.000149,0.000000
2009,0.000145,0.000000
2010,0.000135,0.000000
2011,0.000130,0.000000
2012,0.000127,0.000000
