year,Elda
1880,9
1881,6
1882,12
1883,14
1884,14
1885,17
1886,11
1887,15
1888,27
1889,23
1890,21
1891,43
1892,29
1893,34
1894,38
1895,54
1896,46
1897,34
1898,38
1899,39
1900,52
1901,52
1902,45
1903,60
1904,54
1905,56
1906,64
1907,62
1908,59
1909,54
1910,73
1911,77
1912,124
1913,143
1914,155
1915,241
1916,255
1917,250
1918,248
1919,241
1920,203
1921,243
1922,216
1923,208
1924,202
1925,188
1926,181
1927,169
1928,189
1929,156
1930,155
1931,116
1932,124
1933,117
1934,94
1935,95
1936,91
1937,75
1938,81
1939,75
1940,66
1941,80
1942,71
1943,70
1944,63
1945,54
1946,79
1947,74
1948,58
1949,58
1950,69
1951,57
1952,50
1953,48
1954,69
1955,58
1956,56
1957,56
1958,53
1959,49
1960,58
1961,74
1962,60
1963,56
1964,48
1965,47
1966,28
1967,39
1968,34
1969,35
1970,39
1971,35
1972,36
1973,36
1974,40
1975,38
1976,40
1977,31
1978,33
1979,41
1980,29
1981,40
1982,30
1983,32
1984,25
1985,20
1986,22
1987,17
1988,25
1989,39
1990,42
1991,27
1992,44
1993,28
1994,30
1995,27
1996,27
1997,36
1998,21
1999,20
2000,23
2001,23
2002,20
2003,20
2004,20
2005,26
2006,23
2007,25
2008,27
2009,23
2010,15
2011,10
2012,19
