year,Ersie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,5
1896,0
1897,0
1898,0
1899,7
1900,8
1901,0
1902,6
1903,0
1904,7
1905,5
1906,0
1907,0
1908,5
1909,15
1910,7
1911,9
1912,11
1913,11
1914,20
1915,15
1916,10
1917,14
1918,19
1919,13
1920,20
1921,16
1922,13
1923,18
1924,10
1925,12
1926,20
1927,10
1928,10
1929,12
1930,8
1931,5
1932,8
1933,6
1934,10
1935,7
1936,7
1937,7
1938,7
1939,6
1940,5
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
