year,Ed (F),Ed (M)
1880,0.000000,0.001539
1881,0.000000,0.001412
1882,0.000000,0.001521
1883,0.000000,0.001139
1884,0.000000,0.001290
1885,0.000000,0.001362
1886,0.000000,0.001187
1887,0.000000,0.001112
1888,0.000000,0.001005
1889,0.000000,0.000934
1890,0.000000,0.000869
1891,0.000000,0.000827
1892,0.000015,0.000915
1893,0.000000,0.000692
1894,0.000000,0.000712
1895,0.000000,0.000652
1896,0.000000,0.000688
1897,0.000000,0.000571
1898,0.000000,0.000598
1899,0.000015,0.000513
1900,0.000000,0.000660
1901,0.000000,0.000468
1902,0.000000,0.000453
1903,0.000000,0.000441
1904,0.000000,0.000456
1905,0.000000,0.000448
1906,0.000000,0.000348
1907,0.000000,0.000382
1908,0.000000,0.000311
1909,0.000000,0.000311
1910,0.000000,0.000388
1911,0.000000,0.000255
1912,0.000000,0.000232
1913,0.000000,0.000209
1914,0.000000,0.000202
1915,0.000005,0.000175
1916,0.000003,0.000142
1917,0.000005,0.000151
1918,0.000006,0.000153
1919,0.000003,0.000155
1920,0.000004,0.000137
1921,0.000005,0.000123
1922,0.000006,0.000128
1923,0.000005,0.000116
1924,0.000003,0.000113
1925,0.000003,0.000109
1926,0.000002,0.000125
1927,0.000003,0.000106
1928,0.000003,0.000111
1929,0.000005,0.000094
1930,0.000006,0.000104
1931,0.000000,0.000115
1932,0.000003,0.000123
1933,0.000000,0.000135
1934,0.000000,0.000126
1935,0.000000,0.000116
1936,0.000000,0.000124
1937,0.000000,0.000124
1938,0.000000,0.000120
1939,0.000000,0.000121
1940,0.000000,0.000109
1941,0.000000,0.000111
1942,0.000000,0.000103
1943,0.000000,0.000114
1944,0.000000,0.000114
1945,0.000000,0.000118
1946,0.000000,0.000126
1947,0.000000,0.000102
1948,0.000000,0.000083
1949,0.000000,0.000069
1950,0.000000,0.000047
1951,0.000000,0.000034
1952,0.000000,0.000037
1953,0.000000,0.000036
1954,0.000000,0.000042
1955,0.000000,0.000047
1956,0.000000,0.000065
1957,0.000000,0.000104
1958,0.000000,0.000153
1959,0.000000,0.000167
1960,0.000000,0.000155
1961,0.000000,0.000146
1962,0.000000,0.000142
1963,0.000000,0.000128
1964,0.000000,0.000112
1965,0.000000,0.000085
1966,0.000000,0.000066
1967,0.000000,0.000052
1968,0.000000,0.000050
1969,0.000000,0.000039
1970,0.000000,0.000035
1971,0.000000,0.000030
1972,0.000000,0.000024
1973,0.000000,0.000021
1974,0.000000,0.000019
1975,0.000000,0.000015
1976,0.000000,0.000013
1977,0.000000,0.000009
1978,0.000000,0.000010
1979,0.000000,0.000011
1980,0.000000,0.000012
1981,0.000000,0.000011
1982,0.000000,0.000010
1983,0.000000,0.000010
1984,0.000000,0.000010
1985,0.000000,0.000008
1986,0.000000,0.000009
1987,0.000000,0.000008
1988,0.000000,0.000006
1989,0.000000,0.000006
1990,0.000000,0.000006
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000006
1995,0.000000,0.000007
1996,0.000000,0.000002
1997,0.000000,0.000006
1998,0.000000,0.000004
1999,0.000000,0.000006
2000,0.000000,0.000005
2001,0.000000,0.000006
2002,0.000000,0.000005
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000004
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
2014,0.000000,0.000002
2015,0.000000,0.000002
2016,0.000000,0.000002
2017,0.000000,0.000002
2018,0.000000,0.000003
2019,0.000000,0.000003
2020,0.000000,0.000000
