year,Elwanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,98
1922,85
1923,54
1924,45
1925,50
1926,50
1927,49
1928,34
1929,29
1930,31
1931,43
1932,40
1933,38
1934,30
1935,23
1936,29
1937,30
1938,32
1939,36
1940,34
1941,30
1942,27
1943,17
1944,22
1945,18
1946,29
1947,29
1948,22
1949,25
1950,10
1951,17
1952,14
1953,17
1954,13
1955,7
1956,9
1957,7
1958,8
1959,9
1960,9
1961,10
1962,6
1963,6
1964,7
1965,7
1966,9
1967,0
1968,6
1969,0
1970,0
1971,0
1972,5
1973,0
1974,6
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
