year,Ethelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,7
1910,7
1911,7
1912,15
1913,15
1914,25
1915,20
1916,32
1917,27
1918,36
1919,43
1920,46
1921,53
1922,62
1923,62
1924,47
1925,66
1926,40
1927,59
1928,53
1929,49
1930,56
1931,43
1932,51
1933,45
1934,55
1935,38
1936,47
1937,42
1938,43
1939,48
1940,41
1941,30
1942,38
1943,43
1944,38
1945,23
1946,28
1947,26
1948,30
1949,31
1950,22
1951,25
1952,20
1953,21
1954,26
1955,13
1956,23
1957,10
1958,14
1959,6
1960,11
1961,13
1962,10
1963,10
1964,7
1965,9
1966,5
1967,0
1968,6
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
