year,Eugenia
1880,40
1881,40
1882,73
1883,48
1884,42
1885,68
1886,71
1887,63
1888,70
1889,78
1890,83
1891,83
1892,91
1893,82
1894,85
1895,83
1896,99
1897,96
1898,91
1899,109
1900,112
1901,87
1902,89
1903,100
1904,113
1905,116
1906,111
1907,110
1908,131
1909,137
1910,168
1911,219
1912,266
1913,310
1914,366
1915,506
1916,536
1917,494
1918,561
1919,606
1920,584
1921,606
1922,507
1923,571
1924,551
1925,463
1926,497
1927,467
1928,407
1929,399
1930,341
1931,330
1932,342
1933,291
1934,264
1935,271
1936,254
1937,268
1938,236
1939,246
1940,250
1941,268
1942,325
1943,308
1944,310
1945,291
1946,279
1947,365
1948,298
1949,309
1950,350
1951,360
1952,303
1953,329
1954,350
1955,359
1956,327
1957,350
1958,321
1959,314
1960,348
1961,330
1962,363
1963,361
1964,373
1965,360
1966,298
1967,320
1968,272
1969,291
1970,337
1971,327
1972,256
1973,216
1974,238
1975,229
1976,183
1977,186
1978,202
1979,185
1980,183
1981,173
1982,169
1983,168
1984,150
1985,132
1986,139
1987,109
1988,82
1989,124
1990,127
1991,102
1992,92
1993,66
1994,76
1995,69
1996,66
1997,57
1998,55
1999,52
2000,67
2001,55
2002,31
2003,42
2004,47
2005,35
2006,37
2007,46
2008,42
2009,40
2010,41
2011,30
2012,33
