year,Elona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,12
1916,12
1917,6
1918,6
1919,10
1920,7
1921,6
1922,0
1923,5
1924,5
1925,5
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,7
1936,6
1937,6
1938,8
1939,0
1940,9
1941,11
1942,11
1943,12
1944,8
1945,20
1946,39
1947,18
1948,6
1949,5
1950,17
1951,17
1952,11
1953,9
1954,22
1955,10
1956,10
1957,10
1958,7
1959,7
1960,11
1961,8
1962,7
1963,14
1964,9
1965,6
1966,15
1967,15
1968,10
1969,8
1970,5
1971,10
1972,15
1973,7
1974,11
1975,10
1976,10
1977,7
1978,7
1979,8
1980,10
1981,7
1982,5
1983,0
1984,5
1985,5
1986,0
1987,7
1988,0
1989,8
1990,0
1991,0
1992,8
1993,9
1994,9
1995,12
1996,11
1997,14
1998,13
1999,20
2000,12
2001,18
2002,16
2003,13
2004,15
2005,15
2006,11
2007,22
2008,21
2009,9
2010,26
2011,17
2012,29
