year,Eola
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,6
1892,13
1893,8
1894,9
1895,0
1896,6
1897,8
1898,6
1899,12
1900,6
1901,0
1902,10
1903,13
1904,7
1905,12
1906,7
1907,8
1908,6
1909,9
1910,11
1911,11
1912,14
1913,27
1914,21
1915,21
1916,26
1917,19
1918,22
1919,27
1920,21
1921,24
1922,37
1923,20
1924,19
1925,26
1926,17
1927,11
1928,18
1929,15
1930,16
1931,10
1932,10
1933,10
1934,12
1935,10
1936,0
1937,13
1938,13
1939,9
1940,5
1941,8
1942,9
1943,9
1944,0
1945,5
1946,6
1947,7
1948,6
1949,6
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
