year,Eulalio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,8
1915,0
1916,5
1917,9
1918,14
1919,27
1920,24
1921,23
1922,17
1923,7
1924,14
1925,27
1926,24
1927,20
1928,25
1929,36
1930,20
1931,15
1932,27
1933,13
1934,22
1935,21
1936,15
1937,22
1938,11
1939,12
1940,17
1941,13
1942,18
1943,11
1944,15
1945,16
1946,24
1947,17
1948,18
1949,20
1950,13
1951,14
1952,18
1953,11
1954,15
1955,17
1956,19
1957,10
1958,15
1959,12
1960,11
1961,15
1962,7
1963,5
1964,20
1965,11
1966,10
1967,14
1968,8
1969,17
1970,18
1971,15
1972,18
1973,19
1974,26
1975,13
1976,19
1977,15
1978,11
1979,16
1980,16
1981,18
1982,13
1983,18
1984,8
1985,17
1986,14
1987,15
1988,12
1989,8
1990,12
1991,15
1992,15
1993,15
1994,16
1995,14
1996,13
1997,17
1998,17
1999,16
2000,18
2001,9
2002,11
2003,12
2004,16
2005,8
2006,10
2007,10
2008,7
2009,0
2010,9
2011,7
2012,6
