year,Estil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,7
1909,0
1910,0
1911,7
1912,9
1913,8
1914,8
1915,17
1916,14
1917,22
1918,26
1919,23
1920,22
1921,25
1922,27
1923,24
1924,34
1925,22
1926,36
1927,29
1928,16
1929,18
1930,18
1931,18
1932,27
1933,15
1934,20
1935,19
1936,25
1937,19
1938,28
1939,19
1940,9
1941,19
1942,13
1943,18
1944,15
1945,13
1946,7
1947,7
1948,12
1949,13
1950,10
1951,12
1952,14
1953,10
1954,6
1955,14
1956,8
1957,8
1958,5
1959,0
1960,9
1961,11
1962,6
1963,8
1964,9
1965,0
1966,6
1967,6
1968,5
1969,0
1970,5
1971,6
1972,5
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
