year,Elsworth
1880,0
1881,7
1882,6
1883,6
1884,0
1885,0
1886,0
1887,8
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,5
1906,5
1907,0
1908,6
1909,6
1910,8
1911,11
1912,11
1913,17
1914,15
1915,27
1916,32
1917,40
1918,28
1919,31
1920,34
1921,35
1922,34
1923,29
1924,18
1925,25
1926,21
1927,30
1928,16
1929,24
1930,18
1931,15
1932,18
1933,14
1934,8
1935,12
1936,8
1937,8
1938,15
1939,11
1940,8
1941,7
1942,11
1943,5
1944,9
1945,7
1946,6
1947,9
1948,7
1949,7
1950,5
1951,8
1952,6
1953,12
1954,0
1955,0
1956,7
1957,6
1958,0
1959,9
1960,6
1961,5
1962,0
1963,0
1964,5
1965,0
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
