year,Enrique (F),Enrique (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000028
1896,0.000000,0.000028
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000020
1901,0.000000,0.000026
1902,0.000000,0.000018
1903,0.000000,0.000018
1904,0.000000,0.000017
1905,0.000000,0.000031
1906,0.000000,0.000047
1907,0.000000,0.000024
1908,0.000000,0.000023
1909,0.000000,0.000035
1910,0.000000,0.000036
1911,0.000000,0.000028
1912,0.000000,0.000027
1913,0.000000,0.000027
1914,0.000000,0.000034
1915,0.000000,0.000037
1916,0.000000,0.000024
1917,0.000000,0.000037
1918,0.000000,0.000033
1919,0.000000,0.000041
1920,0.000000,0.000042
1921,0.000000,0.000042
1922,0.000000,0.000054
1923,0.000000,0.000050
1924,0.000000,0.000062
1925,0.000000,0.000065
1926,0.000000,0.000069
1927,0.000000,0.000070
1928,0.000000,0.000086
1929,0.000000,0.000085
1930,0.000000,0.000080
1931,0.000000,0.000072
1932,0.000000,0.000069
1933,0.000000,0.000061
1934,0.000000,0.000052
1935,0.000000,0.000051
1936,0.000000,0.000058
1937,0.000002,0.000064
1938,0.000000,0.000057
1939,0.000000,0.000051
1940,0.000000,0.000053
1941,0.000000,0.000050
1942,0.000000,0.000053
1943,0.000000,0.000057
1944,0.000000,0.000057
1945,0.000000,0.000061
1946,0.000000,0.000063
1947,0.000000,0.000061
1948,0.000000,0.000065
1949,0.000000,0.000064
1950,0.000000,0.000066
1951,0.000000,0.000065
1952,0.000000,0.000071
1953,0.000000,0.000071
1954,0.000000,0.000071
1955,0.000000,0.000069
1956,0.000000,0.000067
1957,0.000000,0.000074
1958,0.000000,0.000075
1959,0.000001,0.000086
1960,0.000001,0.000088
1961,0.000000,0.000090
1962,0.000000,0.000093
1963,0.000000,0.000104
1964,0.000000,0.000111
1965,0.000000,0.000103
1966,0.000000,0.000122
1967,0.000000,0.000134
1968,0.000000,0.000134
1969,0.000002,0.000155
1970,0.000002,0.000162
1971,0.000002,0.000157
1972,0.000003,0.000190
1973,0.000003,0.000203
1974,0.000002,0.000205
1975,0.000003,0.000214
1976,0.000002,0.000213
1977,0.000005,0.000183
1978,0.000003,0.000199
1979,0.000003,0.000213
1980,0.000003,0.000230
1981,0.000002,0.000213
1982,0.000001,0.000215
1983,0.000003,0.000224
1984,0.000002,0.000205
1985,0.000001,0.000197
1986,0.000003,0.000217
1987,0.000004,0.000202
1988,0.000002,0.000204
1989,0.000002,0.000231
1990,0.000001,0.000259
1991,0.000002,0.000273
1992,0.000000,0.000275
1993,0.000002,0.000283
1994,0.000003,0.000287
1995,0.000002,0.000292
1996,0.000002,0.000364
1997,0.000000,0.000372
1998,0.000002,0.000360
1999,0.000000,0.000389
2000,0.000001,0.000407
2001,0.000002,0.000384
2002,0.000000,0.000348
2003,0.000001,0.000356
2004,0.000000,0.000339
2005,0.000000,0.000328
2006,0.000000,0.000312
2007,0.000000,0.000311
2008,0.000000,0.000310
2009,0.000000,0.000275
2010,0.000000,0.000238
2011,0.000000,0.000232
2012,0.000000,0.000224
2013,0.000000,0.000210
2014,0.000000,0.000202
2015,0.000000,0.000193
2016,0.000000,0.000190
2017,0.000000,0.000168
2018,0.000000,0.000174
2019,0.000000,0.000176
2020,0.000000,0.000174
