year,Evert (F),Evert (M)
1880,0.000000,0.000060
1881,0.000000,0.000036
1882,0.000000,0.000045
1883,0.000000,0.000083
1884,0.000000,0.000041
1885,0.000000,0.000054
1886,0.000000,0.000023
1887,0.000000,0.000036
1888,0.000000,0.000037
1889,0.000000,0.000052
1890,0.000000,0.000053
1891,0.000000,0.000042
1892,0.000000,0.000039
1893,0.000000,0.000031
1894,0.000000,0.000018
1895,0.000000,0.000043
1896,0.000000,0.000031
1897,0.000000,0.000029
1898,0.000000,0.000016
1899,0.000000,0.000021
1900,0.000000,0.000020
1901,0.000000,0.000061
1902,0.000000,0.000026
1903,0.000000,0.000018
1904,0.000000,0.000037
1905,0.000000,0.000042
1906,0.000000,0.000028
1907,0.000000,0.000019
1908,0.000000,0.000033
1909,0.000000,0.000014
1910,0.000000,0.000025
1911,0.000000,0.000023
1912,0.000000,0.000044
1913,0.000000,0.000035
1914,0.000000,0.000044
1915,0.000000,0.000043
1916,0.000000,0.000040
1917,0.000000,0.000035
1918,0.000000,0.000038
1919,0.000000,0.000034
1920,0.000000,0.000040
1921,0.000000,0.000036
1922,0.000000,0.000029
1923,0.000000,0.000042
1924,0.000000,0.000037
1925,0.000000,0.000039
1926,0.000000,0.000038
1927,0.000000,0.000031
1928,0.000000,0.000022
1929,0.000000,0.000035
1930,0.000000,0.000022
1931,0.000000,0.000029
1932,0.000000,0.000024
1933,0.000000,0.000024
1934,0.000000,0.000023
1935,0.000000,0.000032
1936,0.000000,0.000020
1937,0.000000,0.000023
1938,0.000000,0.000021
1939,0.000000,0.000018
1940,0.000000,0.000014
1941,0.000000,0.000013
1942,0.000000,0.000013
1943,0.000000,0.000014
1944,0.000000,0.000011
1945,0.000000,0.000011
1946,0.000000,0.000007
1947,0.000000,0.000006
1948,0.000000,0.000008
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000006
1952,0.000000,0.000002
1953,0.000000,0.000005
1954,0.000000,0.000005
1955,0.000000,0.000004
1956,0.000000,0.000005
1957,0.000000,0.000005
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000006
1962,0.000000,0.000003
1963,0.000000,0.000002
1964,0.000000,0.000003
1965,0.000000,0.000003
1966,0.000000,0.000002
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000007
1974,0.000000,0.000002
1975,0.000000,0.000002
1976,0.000000,0.000004
1977,0.000000,0.000002
1978,0.000000,0.000003
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000002
1982,0.000000,0.000001
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000004
1986,0.000000,0.000002
1987,0.000000,0.000002
1988,0.000000,0.000002
1989,0.000000,0.000004
1990,0.000000,0.000002
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000001
2002,0.000000,0.000002
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000003
