year,Emile (F),Emile (M)
1880,0.000000,0.000060
1881,0.000000,0.000104
1882,0.000000,0.000167
1883,0.000000,0.000106
1884,0.000000,0.000115
1885,0.000000,0.000079
1886,0.000000,0.000098
1887,0.000000,0.000085
1888,0.000000,0.000070
1889,0.000000,0.000093
1890,0.000000,0.000070
1891,0.000017,0.000049
1892,0.000000,0.000084
1893,0.000000,0.000077
1894,0.000000,0.000077
1895,0.000000,0.000060
1896,0.000000,0.000095
1897,0.000000,0.000069
1898,0.000000,0.000081
1899,0.000000,0.000068
1900,0.000000,0.000069
1901,0.000000,0.000058
1902,0.000000,0.000047
1903,0.000000,0.000060
1904,0.000000,0.000069
1905,0.000012,0.000073
1906,0.000000,0.000049
1907,0.000000,0.000049
1908,0.000000,0.000068
1909,0.000010,0.000070
1910,0.000000,0.000073
1911,0.000000,0.000084
1912,0.000000,0.000077
1913,0.000005,0.000084
1914,0.000004,0.000085
1915,0.000003,0.000069
1916,0.000005,0.000070
1917,0.000005,0.000069
1918,0.000003,0.000070
1919,0.000003,0.000071
1920,0.000005,0.000063
1921,0.000003,0.000071
1922,0.000000,0.000073
1923,0.000004,0.000069
1924,0.000002,0.000062
1925,0.000003,0.000060
1926,0.000004,0.000057
1927,0.000003,0.000059
1928,0.000003,0.000054
1929,0.000000,0.000051
1930,0.000000,0.000054
1931,0.000000,0.000057
1932,0.000002,0.000053
1933,0.000000,0.000049
1934,0.000000,0.000037
1935,0.000000,0.000041
1936,0.000000,0.000044
1937,0.000004,0.000040
1938,0.000004,0.000042
1939,0.000003,0.000042
1940,0.000003,0.000031
1941,0.000000,0.000034
1942,0.000000,0.000032
1943,0.000000,0.000030
1944,0.000000,0.000030
1945,0.000000,0.000029
1946,0.000003,0.000023
1947,0.000000,0.000030
1948,0.000000,0.000024
1949,0.000001,0.000023
1950,0.000000,0.000020
1951,0.000000,0.000018
1952,0.000000,0.000019
1953,0.000000,0.000017
1954,0.000002,0.000016
1955,0.000001,0.000014
1956,0.000000,0.000019
1957,0.000000,0.000012
1958,0.000001,0.000018
1959,0.000001,0.000017
1960,0.000000,0.000013
1961,0.000001,0.000017
1962,0.000000,0.000016
1963,0.000002,0.000014
1964,0.000000,0.000014
1965,0.000000,0.000013
1966,0.000000,0.000012
1967,0.000000,0.000012
1968,0.000000,0.000014
1969,0.000000,0.000012
1970,0.000000,0.000016
1971,0.000000,0.000013
1972,0.000002,0.000012
1973,0.000000,0.000012
1974,0.000002,0.000013
1975,0.000002,0.000012
1976,0.000000,0.000013
1977,0.000002,0.000009
1978,0.000003,0.000012
1979,0.000000,0.000011
1980,0.000005,0.000010
1981,0.000003,0.000013
1982,0.000003,0.000011
1983,0.000002,0.000009
1984,0.000005,0.000008
1985,0.000003,0.000009
1986,0.000003,0.000006
1987,0.000004,0.000009
1988,0.000005,0.000011
1989,0.000003,0.000006
1990,0.000003,0.000006
1991,0.000004,0.000010
1992,0.000004,0.000008
1993,0.000005,0.000007
1994,0.000005,0.000010
1995,0.000004,0.000012
1996,0.000004,0.000007
1997,0.000004,0.000007
1998,0.000003,0.000010
1999,0.000004,0.000007
2000,0.000002,0.000008
2001,0.000003,0.000009
2002,0.000004,0.000011
2003,0.000002,0.000009
2004,0.000004,0.000010
2005,0.000002,0.000011
2006,0.000003,0.000009
2007,0.000004,0.000010
2008,0.000002,0.000012
2009,0.000002,0.000013
2010,0.000000,0.000009
2011,0.000000,0.000010
2012,0.000002,0.000011
2013,0.000000,0.000013
