year,Epifania
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,6
1915,7
1916,12
1917,10
1918,8
1919,13
1920,20
1921,18
1922,23
1923,16
1924,22
1925,13
1926,13
1927,20
1928,14
1929,12
1930,20
1931,14
1932,10
1933,15
1934,8
1935,12
1936,10
1937,5
1938,12
1939,10
1940,0
1941,0
1942,5
1943,7
1944,0
1945,8
1946,12
1947,12
1948,0
1949,6
1950,8
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,5
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,7
1975,0
1976,0
1977,0
1978,0
1979,6
1980,6
1981,0
1982,6
1983,5
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,6
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
