year,Ernst (F),Ernst (M)
1880,0.000000,0.000045
1881,0.000000,0.000062
1882,0.000000,0.000032
1883,0.000000,0.000074
1884,0.000000,0.000058
1885,0.000000,0.000079
1886,0.000000,0.000031
1887,0.000000,0.000040
1888,0.000000,0.000040
1889,0.000000,0.000035
1890,0.000000,0.000030
1891,0.000000,0.000024
1892,0.000000,0.000021
1893,0.000000,0.000037
1894,0.000000,0.000044
1895,0.000000,0.000037
1896,0.000000,0.000025
1897,0.000000,0.000014
1898,0.000000,0.000037
1899,0.000000,0.000018
1900,0.000000,0.000020
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000022
1905,0.000000,0.000019
1906,0.000000,0.000033
1907,0.000000,0.000000
1908,0.000000,0.000023
1909,0.000000,0.000020
1910,0.000000,0.000012
1911,0.000000,0.000016
1912,0.000000,0.000021
1913,0.000000,0.000026
1914,0.000000,0.000026
1915,0.000000,0.000026
1916,0.000000,0.000028
1917,0.000000,0.000029
1918,0.000000,0.000025
1919,0.000000,0.000024
1920,0.000000,0.000019
1921,0.000000,0.000018
1922,0.000000,0.000014
1923,0.000000,0.000008
1924,0.000000,0.000015
1925,0.000000,0.000018
1926,0.000000,0.000019
1927,0.000000,0.000013
1928,0.000000,0.000015
1929,0.000000,0.000012
1930,0.000000,0.000017
1931,0.000000,0.000014
1932,0.000000,0.000011
1933,0.000000,0.000016
1934,0.000000,0.000013
1935,0.000000,0.000015
1936,0.000000,0.000011
1937,0.000000,0.000012
1938,0.000000,0.000012
1939,0.000000,0.000010
1940,0.000000,0.000011
1941,0.000000,0.000009
1942,0.000000,0.000009
1943,0.000000,0.000006
1944,0.000000,0.000008
1945,0.000000,0.000006
1946,0.000000,0.000005
1947,0.000000,0.000005
1948,0.000000,0.000007
1949,0.000000,0.000005
1950,0.000000,0.000005
1951,0.000000,0.000004
1952,0.000000,0.000007
1953,0.000000,0.000007
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000005
1957,0.000000,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000003
1961,0.000000,0.000005
1962,0.000000,0.000005
1963,0.000000,0.000004
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000003
1969,0.000000,0.000004
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000004
1973,0.000000,0.000006
1974,0.000000,0.000004
1975,0.000000,0.000004
1976,0.000000,0.000005
1977,0.000000,0.000003
1978,0.000000,0.000005
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000005
1982,0.000000,0.000006
1983,0.000000,0.000004
1984,0.000000,0.000003
1985,0.000000,0.000006
1986,0.000000,0.000005
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000005
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000003
1998,0.000000,0.000002
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000003
2005,0.000000,0.000001
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
