year,Earvin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,0
1914,8
1915,9
1916,12
1917,14
1918,11
1919,18
1920,11
1921,11
1922,18
1923,13
1924,16
1925,10
1926,11
1927,10
1928,12
1929,11
1930,19
1931,19
1932,11
1933,14
1934,11
1935,17
1936,15
1937,8
1938,12
1939,13
1940,14
1941,18
1942,11
1943,13
1944,14
1945,10
1946,13
1947,15
1948,19
1949,16
1950,12
1951,20
1952,12
1953,19
1954,20
1955,17
1956,11
1957,20
1958,21
1959,21
1960,14
1961,17
1962,12
1963,9
1964,11
1965,9
1966,10
1967,7
1968,0
1969,9
1970,7
1971,7
1972,10
1973,6
1974,0
1975,8
1976,5
1977,0
1978,7
1979,11
1980,20
1981,9
1982,13
1983,10
1984,14
1985,9
1986,11
1987,13
1988,17
1989,15
1990,21
1991,32
1992,49
1993,28
1994,10
1995,7
1996,10
1997,6
1998,10
1999,12
2000,8
2001,0
2002,0
2003,8
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,8
2011,0
2012,10
