year,Erick (F),Erick (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000033
1891,0.000000,0.000017
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000028
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000021
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000020
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000011
1914,0.000000,0.000015
1915,0.000000,0.000014
1916,0.000000,0.000011
1917,0.000000,0.000007
1918,0.000000,0.000008
1919,0.000000,0.000009
1920,0.000000,0.000008
1921,0.000000,0.000006
1922,0.000000,0.000012
1923,0.000000,0.000011
1924,0.000000,0.000012
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000007
1928,0.000000,0.000007
1929,0.000000,0.000008
1930,0.000000,0.000007
1931,0.000000,0.000005
1932,0.000000,0.000009
1933,0.000000,0.000006
1934,0.000000,0.000006
1935,0.000000,0.000008
1936,0.000000,0.000007
1937,0.000000,0.000011
1938,0.000000,0.000005
1939,0.000000,0.000006
1940,0.000000,0.000010
1941,0.000000,0.000009
1942,0.000000,0.000009
1943,0.000000,0.000010
1944,0.000000,0.000011
1945,0.000000,0.000020
1946,0.000000,0.000018
1947,0.000000,0.000020
1948,0.000000,0.000021
1949,0.000000,0.000026
1950,0.000000,0.000021
1951,0.000000,0.000021
1952,0.000000,0.000023
1953,0.000000,0.000016
1954,0.000000,0.000016
1955,0.000000,0.000016
1956,0.000000,0.000023
1957,0.000000,0.000029
1958,0.000000,0.000035
1959,0.000000,0.000037
1960,0.000000,0.000039
1961,0.000000,0.000034
1962,0.000000,0.000048
1963,0.000000,0.000050
1964,0.000000,0.000074
1965,0.000000,0.000126
1966,0.000000,0.000114
1967,0.000000,0.000135
1968,0.000001,0.000139
1969,0.000001,0.000152
1970,0.000000,0.000174
1971,0.000005,0.000223
1972,0.000003,0.000238
1973,0.000000,0.000222
1974,0.000003,0.000225
1975,0.000002,0.000208
1976,0.000003,0.000235
1977,0.000002,0.000203
1978,0.000003,0.000247
1979,0.000003,0.000271
1980,0.000003,0.000269
1981,0.000002,0.000253
1982,0.000002,0.000250
1983,0.000002,0.000249
1984,0.000003,0.000252
1985,0.000003,0.000231
1986,0.000003,0.000236
1987,0.000003,0.000255
1988,0.000002,0.000251
1989,0.000003,0.000279
1990,0.000006,0.000346
1991,0.000005,0.000387
1992,0.000005,0.000357
1993,0.000004,0.000399
1994,0.000004,0.000451
1995,0.000002,0.000439
1996,0.000005,0.000468
1997,0.000003,0.000445
1998,0.000002,0.000429
1999,0.000003,0.000471
2000,0.000004,0.000499
2001,0.000003,0.000513
2002,0.000002,0.000549
2003,0.000004,0.000551
2004,0.000000,0.000584
2005,0.000002,0.000584
2006,0.000001,0.000593
2007,0.000001,0.000609
2008,0.000002,0.000565
2009,0.000000,0.000525
2010,0.000000,0.000504
2011,0.000002,0.000422
2012,0.000000,0.000416
2013,0.000000,0.000373
2014,0.000000,0.000390
2015,0.000000,0.000371
2016,0.000000,0.000437
2017,0.000001,0.000401
2018,0.000000,0.000355
2019,0.000000,0.000370
2020,0.000000,0.000337
