year,Edmond (F),Edmond (M)
1880,0.000000,0.000218
1881,0.000000,0.000218
1882,0.000000,0.000176
1883,0.000000,0.000240
1884,0.000000,0.000177
1885,0.000000,0.000149
1886,0.000000,0.000196
1887,0.000000,0.000146
1888,0.000000,0.000144
1889,0.000000,0.000152
1890,0.000000,0.000169
1891,0.000000,0.000140
1892,0.000000,0.000120
1893,0.000000,0.000154
1894,0.000000,0.000148
1895,0.000000,0.000142
1896,0.000000,0.000162
1897,0.000000,0.000135
1898,0.000000,0.000110
1899,0.000000,0.000121
1900,0.000000,0.000104
1901,0.000000,0.000119
1902,0.000000,0.000127
1903,0.000000,0.000115
1904,0.000000,0.000131
1905,0.000000,0.000113
1906,0.000000,0.000121
1907,0.000000,0.000146
1908,0.000000,0.000180
1909,0.000000,0.000133
1910,0.000000,0.000166
1911,0.000000,0.000141
1912,0.000000,0.000202
1913,0.000000,0.000176
1914,0.000000,0.000190
1915,0.000000,0.000176
1916,0.000000,0.000189
1917,0.000000,0.000178
1918,0.000000,0.000197
1919,0.000000,0.000188
1920,0.000000,0.000192
1921,0.000000,0.000170
1922,0.000000,0.000169
1923,0.000000,0.000148
1924,0.000000,0.000169
1925,0.000000,0.000171
1926,0.000000,0.000164
1927,0.000000,0.000163
1928,0.000000,0.000180
1929,0.000000,0.000146
1930,0.000000,0.000162
1931,0.000000,0.000151
1932,0.000000,0.000139
1933,0.000000,0.000144
1934,0.000000,0.000139
1935,0.000000,0.000133
1936,0.000000,0.000150
1937,0.000000,0.000124
1938,0.000000,0.000117
1939,0.000000,0.000128
1940,0.000000,0.000119
1941,0.000000,0.000115
1942,0.000000,0.000108
1943,0.000000,0.000114
1944,0.000000,0.000101
1945,0.000000,0.000102
1946,0.000000,0.000098
1947,0.000000,0.000098
1948,0.000000,0.000106
1949,0.000000,0.000084
1950,0.000000,0.000090
1951,0.000000,0.000094
1952,0.000000,0.000078
1953,0.000000,0.000087
1954,0.000000,0.000077
1955,0.000000,0.000084
1956,0.000000,0.000078
1957,0.000000,0.000077
1958,0.000000,0.000065
1959,0.000000,0.000064
1960,0.000000,0.000065
1961,0.000000,0.000059
1962,0.000000,0.000058
1963,0.000000,0.000064
1964,0.000000,0.000054
1965,0.000000,0.000057
1966,0.000000,0.000051
1967,0.000000,0.000054
1968,0.000002,0.000054
1969,0.000000,0.000053
1970,0.000000,0.000052
1971,0.000000,0.000047
1972,0.000000,0.000041
1973,0.000000,0.000046
1974,0.000000,0.000037
1975,0.000000,0.000044
1976,0.000000,0.000041
1977,0.000000,0.000052
1978,0.000000,0.000061
1979,0.000000,0.000060
1980,0.000000,0.000046
1981,0.000000,0.000042
1982,0.000000,0.000041
1983,0.000000,0.000031
1984,0.000000,0.000035
1985,0.000000,0.000033
1986,0.000000,0.000026
1987,0.000000,0.000029
1988,0.000000,0.000034
1989,0.000000,0.000029
1990,0.000000,0.000024
1991,0.000000,0.000025
1992,0.000000,0.000029
1993,0.000000,0.000027
1994,0.000000,0.000027
1995,0.000000,0.000029
1996,0.000000,0.000019
1997,0.000000,0.000023
1998,0.000000,0.000026
1999,0.000000,0.000018
2000,0.000000,0.000024
2001,0.000000,0.000021
2002,0.000000,0.000022
2003,0.000000,0.000020
2004,0.000000,0.000022
2005,0.000000,0.000018
2006,0.000000,0.000019
2007,0.000000,0.000026
2008,0.000000,0.000017
2009,0.000000,0.000020
2010,0.000000,0.000019
2011,0.000000,0.000017
2012,0.000000,0.000022
