year,Erman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,5
1911,8
1912,16
1913,15
1914,11
1915,26
1916,12
1917,15
1918,17
1919,18
1920,23
1921,14
1922,17
1923,22
1924,22
1925,22
1926,19
1927,20
1928,13
1929,21
1930,11
1931,15
1932,14
1933,11
1934,8
1935,11
1936,19
1937,15
1938,11
1939,13
1940,15
1941,9
1942,12
1943,6
1944,12
1945,5
1946,9
1947,8
1948,13
1949,0
1950,6
1951,8
1952,0
1953,5
1954,9
1955,0
1956,11
1957,6
1958,8
1959,0
1960,6
1961,0
1962,0
1963,5
1964,5
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,5
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
