year,Elfreda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,5
1889,0
1890,7
1891,0
1892,6
1893,0
1894,13
1895,8
1896,8
1897,0
1898,8
1899,8
1900,10
1901,5
1902,9
1903,0
1904,0
1905,7
1906,11
1907,5
1908,0
1909,8
1910,9
1911,10
1912,14
1913,9
1914,27
1915,20
1916,26
1917,40
1918,26
1919,21
1920,26
1921,12
1922,29
1923,24
1924,23
1925,15
1926,22
1927,27
1928,20
1929,24
1930,10
1931,25
1932,14
1933,9
1934,12
1935,14
1936,9
1937,16
1938,9
1939,8
1940,8
1941,14
1942,14
1943,6
1944,10
1945,5
1946,5
1947,12
1948,7
1949,13
1950,9
1951,8
1952,6
1953,7
1954,12
1955,9
1956,0
1957,0
1958,33
1959,9
1960,11
1961,7
1962,9
1963,0
1964,8
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,5
1973,0
1974,5
1975,9
1976,6
1977,0
1978,7
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
