year,Elisha (F),Elisha (M)
1880,0.000000,0.000159
1881,0.000000,0.000150
1882,0.000000,0.000158
1883,0.000000,0.000194
1884,0.000000,0.000160
1885,0.000000,0.000158
1886,0.000000,0.000137
1887,0.000000,0.000081
1888,0.000000,0.000124
1889,0.000000,0.000100
1890,0.000000,0.000080
1891,0.000000,0.000098
1892,0.000000,0.000084
1893,0.000000,0.000052
1894,0.000000,0.000080
1895,0.000000,0.000094
1896,0.000000,0.000064
1897,0.000000,0.000052
1898,0.000000,0.000084
1899,0.000000,0.000077
1900,0.000000,0.000082
1901,0.000000,0.000055
1902,0.000000,0.000059
1903,0.000000,0.000066
1904,0.000000,0.000062
1905,0.000000,0.000038
1906,0.000000,0.000035
1907,0.000000,0.000045
1908,0.000000,0.000023
1909,0.000000,0.000047
1910,0.000000,0.000042
1911,0.000000,0.000042
1912,0.000000,0.000045
1913,0.000000,0.000040
1914,0.000004,0.000030
1915,0.000000,0.000032
1916,0.000000,0.000042
1917,0.000000,0.000039
1918,0.000000,0.000032
1919,0.000000,0.000037
1920,0.000000,0.000031
1921,0.000000,0.000042
1922,0.000000,0.000042
1923,0.000000,0.000039
1924,0.000000,0.000030
1925,0.000000,0.000032
1926,0.000000,0.000031
1927,0.000000,0.000034
1928,0.000000,0.000030
1929,0.000000,0.000027
1930,0.000000,0.000032
1931,0.000000,0.000030
1932,0.000000,0.000029
1933,0.000000,0.000023
1934,0.000000,0.000028
1935,0.000000,0.000025
1936,0.000000,0.000023
1937,0.000000,0.000023
1938,0.000000,0.000019
1939,0.000000,0.000022
1940,0.000003,0.000024
1941,0.000000,0.000019
1942,0.000000,0.000016
1943,0.000000,0.000017
1944,0.000000,0.000016
1945,0.000000,0.000018
1946,0.000000,0.000014
1947,0.000002,0.000013
1948,0.000003,0.000012
1949,0.000003,0.000015
1950,0.000000,0.000014
1951,0.000002,0.000012
1952,0.000001,0.000011
1953,0.000002,0.000010
1954,0.000001,0.000011
1955,0.000000,0.000011
1956,0.000002,0.000008
1957,0.000004,0.000009
1958,0.000002,0.000008
1959,0.000006,0.000008
1960,0.000012,0.000007
1961,0.000008,0.000006
1962,0.000010,0.000008
1963,0.000014,0.000008
1964,0.000015,0.000008
1965,0.000020,0.000008
1966,0.000016,0.000007
1967,0.000022,0.000004
1968,0.000021,0.000007
1969,0.000027,0.000007
1970,0.000035,0.000011
1971,0.000044,0.000011
1972,0.000058,0.000014
1973,0.000052,0.000012
1974,0.000061,0.000016
1975,0.000076,0.000023
1976,0.000099,0.000021
1977,0.000133,0.000026
1978,0.000140,0.000027
1979,0.000164,0.000028
1980,0.000181,0.000033
1981,0.000163,0.000030
1982,0.000154,0.000031
1983,0.000152,0.000027
1984,0.000134,0.000033
1985,0.000135,0.000028
1986,0.000120,0.000023
1987,0.000125,0.000024
1988,0.000109,0.000024
1989,0.000093,0.000027
1990,0.000088,0.000030
1991,0.000076,0.000036
1992,0.000077,0.000036
1993,0.000069,0.000038
1994,0.000066,0.000048
1995,0.000060,0.000055
1996,0.000061,0.000063
1997,0.000055,0.000064
1998,0.000060,0.000069
1999,0.000051,0.000077
2000,0.000050,0.000073
2001,0.000047,0.000080
2002,0.000044,0.000090
2003,0.000044,0.000089
2004,0.000053,0.000094
2005,0.000041,0.000098
2006,0.000042,0.000095
2007,0.000047,0.000091
2008,0.000037,0.000100
2009,0.000038,0.000089
2010,0.000037,0.000099
2011,0.000038,0.000085
2012,0.000038,0.000087
