year,Eulah
1880,0
1881,5
1882,5
1883,0
1884,8
1885,6
1886,11
1887,13
1888,12
1889,13
1890,16
1891,13
1892,15
1893,24
1894,17
1895,21
1896,18
1897,15
1898,15
1899,22
1900,26
1901,26
1902,20
1903,22
1904,27
1905,26
1906,34
1907,31
1908,24
1909,23
1910,25
1911,33
1912,36
1913,41
1914,39
1915,63
1916,54
1917,56
1918,57
1919,47
1920,62
1921,55
1922,62
1923,49
1924,49
1925,52
1926,47
1927,54
1928,33
1929,35
1930,38
1931,26
1932,28
1933,21
1934,14
1935,26
1936,14
1937,23
1938,24
1939,13
1940,13
1941,17
1942,21
1943,19
1944,12
1945,11
1946,12
1947,8
1948,9
1949,7
1950,6
1951,9
1952,0
1953,7
1954,7
1955,8
1956,11
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
