year,Edd (F),Edd (M)
1880,0.000000,0.000258
1881,0.000000,0.000208
1882,0.000000,0.000284
1883,0.000000,0.000198
1884,0.000000,0.000205
1885,0.000000,0.000212
1886,0.000000,0.000243
1887,0.000000,0.000243
1888,0.000000,0.000227
1889,0.000000,0.000180
1890,0.000000,0.000206
1891,0.000000,0.000185
1892,0.000000,0.000194
1893,0.000000,0.000172
1894,0.000000,0.000177
1895,0.000000,0.000117
1896,0.000000,0.000109
1897,0.000000,0.000135
1898,0.000000,0.000121
1899,0.000000,0.000121
1900,0.000000,0.000135
1901,0.000000,0.000107
1902,0.000000,0.000124
1903,0.000000,0.000115
1904,0.000000,0.000092
1905,0.000000,0.000101
1906,0.000000,0.000114
1907,0.000000,0.000088
1908,0.000000,0.000096
1909,0.000000,0.000076
1910,0.000000,0.000056
1911,0.000000,0.000067
1912,0.000000,0.000064
1913,0.000000,0.000056
1914,0.000000,0.000065
1915,0.000000,0.000055
1916,0.000000,0.000055
1917,0.000000,0.000054
1918,0.000000,0.000053
1919,0.000003,0.000077
1920,0.000000,0.000053
1921,0.000000,0.000050
1922,0.000000,0.000055
1923,0.000000,0.000048
1924,0.000000,0.000039
1925,0.000000,0.000049
1926,0.000000,0.000044
1927,0.000000,0.000041
1928,0.000000,0.000035
1929,0.000000,0.000036
1930,0.000003,0.000047
1931,0.000000,0.000038
1932,0.000000,0.000036
1933,0.000000,0.000037
1934,0.000000,0.000042
1935,0.000000,0.000040
1936,0.000000,0.000025
1937,0.000000,0.000028
1938,0.000000,0.000027
1939,0.000000,0.000030
1940,0.000000,0.000029
1941,0.000000,0.000020
1942,0.000000,0.000018
1943,0.000000,0.000017
1944,0.000000,0.000023
1945,0.000000,0.000026
1946,0.000000,0.000023
1947,0.000000,0.000016
1948,0.000000,0.000016
1949,0.000000,0.000014
1950,0.000000,0.000012
1951,0.000000,0.000009
1952,0.000000,0.000007
1953,0.000000,0.000006
1954,0.000000,0.000009
1955,0.000000,0.000007
1956,0.000000,0.000008
1957,0.000000,0.000006
1958,0.000000,0.000010
1959,0.000000,0.000010
1960,0.000000,0.000007
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000004
1966,0.000000,0.000007
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000004
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000004
1974,0.000000,0.000004
1975,0.000000,0.000003
1976,0.000000,0.000003
1977,0.000000,0.000002
1978,0.000000,0.000002
1979,0.000000,0.000004
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000003
1983,0.000000,0.000001
1984,0.000000,0.000003
1985,0.000000,0.000001
1986,0.000000,0.000001
1987,0.000000,0.000000
1988,0.000000,0.000001
1989,0.000000,0.000000
1990,0.000000,0.000001
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000002
2006,0.000000,0.000001
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
