year,Elzy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,8
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,6
1893,0
1894,0
1895,7
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,6
1913,8
1914,5
1915,10
1916,15
1917,15
1918,8
1919,17
1920,16
1921,8
1922,15
1923,8
1924,14
1925,14
1926,11
1927,13
1928,11
1929,14
1930,12
1931,5
1932,10
1933,5
1934,10
1935,0
1936,11
1937,5
1938,8
1939,8
1940,8
1941,0
1942,5
1943,8
1944,0
1945,6
1946,5
1947,5
1948,0
1949,6
1950,0
1951,0
1952,6
1953,0
1954,7
1955,0
1956,5
1957,5
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
