year,Earnest (F),Earnest (M)
1880,0.000000,0.000437
1881,0.000000,0.000477
1882,0.000000,0.000469
1883,0.000000,0.000401
1884,0.000000,0.000448
1885,0.000000,0.000498
1886,0.000000,0.000411
1887,0.000000,0.000400
1888,0.000000,0.000461
1889,0.000000,0.000350
1890,0.000000,0.000405
1891,0.000000,0.000398
1892,0.000000,0.000446
1893,0.000000,0.000406
1894,0.000000,0.000387
1895,0.000000,0.000407
1896,0.000000,0.000403
1897,0.000000,0.000427
1898,0.000013,0.000422
1899,0.000000,0.000430
1900,0.000000,0.000495
1901,0.000000,0.000379
1902,0.000000,0.000411
1903,0.000000,0.000367
1904,0.000000,0.000468
1905,0.000000,0.000406
1906,0.000000,0.000427
1907,0.000000,0.000483
1908,0.000000,0.000471
1909,0.000000,0.000499
1910,0.000000,0.000432
1911,0.000000,0.000439
1912,0.000000,0.000492
1913,0.000006,0.000458
1914,0.000005,0.000450
1915,0.000000,0.000450
1916,0.000005,0.000403
1917,0.000003,0.000460
1918,0.000004,0.000498
1919,0.000006,0.000504
1920,0.000004,0.000483
1921,0.000006,0.000483
1922,0.000009,0.000476
1923,0.000008,0.000462
1924,0.000006,0.000480
1925,0.000006,0.000473
1926,0.000004,0.000500
1927,0.000006,0.000458
1928,0.000006,0.000461
1929,0.000006,0.000455
1930,0.000005,0.000446
1931,0.000006,0.000435
1932,0.000006,0.000413
1933,0.000004,0.000429
1934,0.000006,0.000443
1935,0.000008,0.000422
1936,0.000007,0.000392
1937,0.000005,0.000391
1938,0.000008,0.000374
1939,0.000008,0.000367
1940,0.000005,0.000346
1941,0.000008,0.000333
1942,0.000004,0.000306
1943,0.000006,0.000333
1944,0.000003,0.000333
1945,0.000008,0.000304
1946,0.000003,0.000266
1947,0.000003,0.000272
1948,0.000003,0.000261
1949,0.000005,0.000255
1950,0.000005,0.000253
1951,0.000003,0.000218
1952,0.000003,0.000215
1953,0.000004,0.000204
1954,0.000004,0.000193
1955,0.000002,0.000174
1956,0.000003,0.000176
1957,0.000003,0.000151
1958,0.000003,0.000153
1959,0.000003,0.000135
1960,0.000004,0.000143
1961,0.000003,0.000126
1962,0.000000,0.000123
1963,0.000001,0.000118
1964,0.000002,0.000107
1965,0.000003,0.000122
1966,0.000003,0.000121
1967,0.000003,0.000112
1968,0.000000,0.000115
1969,0.000001,0.000109
1970,0.000002,0.000106
1971,0.000002,0.000106
1972,0.000002,0.000106
1973,0.000000,0.000101
1974,0.000000,0.000092
1975,0.000002,0.000094
1976,0.000000,0.000093
1977,0.000000,0.000083
1978,0.000000,0.000069
1979,0.000002,0.000074
1980,0.000001,0.000073
1981,0.000000,0.000069
1982,0.000000,0.000073
1983,0.000000,0.000061
1984,0.000000,0.000050
1985,0.000000,0.000050
1986,0.000000,0.000055
1987,0.000000,0.000047
1988,0.000000,0.000042
1989,0.000000,0.000044
1990,0.000000,0.000037
1991,0.000000,0.000032
1992,0.000000,0.000035
1993,0.000000,0.000024
1994,0.000000,0.000031
1995,0.000000,0.000025
1996,0.000000,0.000023
1997,0.000000,0.000024
1998,0.000000,0.000027
1999,0.000000,0.000021
2000,0.000000,0.000018
2001,0.000000,0.000018
2002,0.000000,0.000017
2003,0.000000,0.000013
2004,0.000000,0.000015
2005,0.000000,0.000013
2006,0.000000,0.000015
2007,0.000000,0.000013
2008,0.000000,0.000013
2009,0.000000,0.000012
2010,0.000000,0.000010
2011,0.000000,0.000015
2012,0.000000,0.000014
2013,0.000000,0.000009
2014,0.000000,0.000010
2015,0.000000,0.000009
2016,0.000000,0.000007
2017,0.000000,0.000009
2018,0.000000,0.000011
2019,0.000000,0.000008
2020,0.000000,0.000008
