year,Eugenie
1880,7
1881,16
1882,12
1883,7
1884,20
1885,19
1886,19
1887,28
1888,27
1889,27
1890,14
1891,15
1892,28
1893,30
1894,23
1895,22
1896,27
1897,18
1898,16
1899,20
1900,23
1901,22
1902,16
1903,7
1904,17
1905,23
1906,21
1907,22
1908,22
1909,20
1910,22
1911,23
1912,38
1913,44
1914,50
1915,53
1916,50
1917,66
1918,57
1919,45
1920,72
1921,51
1922,48
1923,47
1924,48
1925,38
1926,35
1927,43
1928,35
1929,30
1930,39
1931,41
1932,33
1933,23
1934,31
1935,32
1936,28
1937,29
1938,32
1939,36
1940,23
1941,28
1942,39
1943,32
1944,36
1945,38
1946,56
1947,56
1948,48
1949,49
1950,56
1951,49
1952,46
1953,60
1954,57
1955,41
1956,39
1957,39
1958,31
1959,34
1960,27
1961,25
1962,16
1963,28
1964,18
1965,26
1966,19
1967,17
1968,16
1969,19
1970,23
1971,21
1972,18
1973,13
1974,11
1975,17
1976,13
1977,14
1978,13
1979,12
1980,10
1981,9
1982,8
1983,9
1984,7
1985,9
1986,8
1987,9
1988,8
1989,8
1990,13
1991,9
1992,14
1993,10
1994,7
1995,7
1996,10
1997,11
1998,9
1999,11
2000,10
2001,13
2002,17
2003,6
2004,6
2005,6
2006,8
2007,9
2008,6
2009,5
2010,0
2011,8
2012,10
