year,Evalene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,5
1913,7
1914,0
1915,10
1916,9
1917,11
1918,0
1919,11
1920,16
1921,18
1922,10
1923,11
1924,10
1925,10
1926,12
1927,11
1928,9
1929,0
1930,17
1931,18
1932,13
1933,8
1934,10
1935,14
1936,8
1937,13
1938,10
1939,8
1940,5
1941,7
1942,0
1943,8
1944,0
1945,6
1946,7
1947,0
1948,5
1949,0
1950,7
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,8
2012,0
