year,Effie (F),Effie (M)
1880,0.002015,0.000000
1881,0.002403,0.000000
1882,0.002532,0.000000
1883,0.002337,0.000032
1884,0.002292,0.000000
1885,0.002545,0.000000
1886,0.002632,0.000000
1887,0.002486,0.000020
1888,0.002484,0.000020
1889,0.002461,0.000028
1890,0.002379,0.000000
1891,0.002456,0.000021
1892,0.002156,0.000015
1893,0.002072,0.000000
1894,0.002102,0.000018
1895,0.002017,0.000020
1896,0.002003,0.000022
1897,0.002012,0.000000
1898,0.001872,0.000000
1899,0.001760,0.000021
1900,0.001670,0.000029
1901,0.001576,0.000017
1902,0.001701,0.000016
1903,0.001448,0.000000
1904,0.001433,0.000000
1905,0.001279,0.000017
1906,0.001349,0.000000
1907,0.001242,0.000000
1908,0.001123,0.000000
1909,0.001052,0.000000
1910,0.000968,0.000000
1911,0.000852,0.000011
1912,0.000674,0.000000
1913,0.000623,0.000007
1914,0.000513,0.000000
1915,0.000461,0.000003
1916,0.000454,0.000006
1917,0.000444,0.000005
1918,0.000423,0.000005
1919,0.000440,0.000004
1920,0.000396,0.000000
1921,0.000363,0.000000
1922,0.000354,0.000004
1923,0.000338,0.000005
1924,0.000321,0.000003
1925,0.000334,0.000000
1926,0.000280,0.000003
1927,0.000259,0.000004
1928,0.000234,0.000000
1929,0.000237,0.000002
1930,0.000219,0.000004
1931,0.000200,0.000000
1932,0.000198,0.000000
1933,0.000203,0.000000
1934,0.000208,0.000000
1935,0.000186,0.000000
1936,0.000156,0.000002
1937,0.000178,0.000002
1938,0.000136,0.000000
1939,0.000131,0.000000
1940,0.000126,0.000000
1941,0.000103,0.000000
1942,0.000099,0.000002
1943,0.000081,0.000000
1944,0.000074,0.000000
1945,0.000084,0.000000
1946,0.000071,0.000000
1947,0.000063,0.000000
1948,0.000059,0.000000
1949,0.000059,0.000000
1950,0.000053,0.000000
1951,0.000050,0.000000
1952,0.000045,0.000000
1953,0.000041,0.000000
1954,0.000036,0.000000
1955,0.000038,0.000000
1956,0.000032,0.000000
1957,0.000027,0.000000
1958,0.000031,0.000000
1959,0.000027,0.000000
1960,0.000023,0.000000
1961,0.000024,0.000000
1962,0.000021,0.000000
1963,0.000022,0.000000
1964,0.000020,0.000000
1965,0.000023,0.000000
1966,0.000019,0.000000
1967,0.000019,0.000000
1968,0.000021,0.000000
1969,0.000020,0.000000
1970,0.000022,0.000000
1971,0.000026,0.000000
1972,0.000018,0.000000
1973,0.000019,0.000002
1974,0.000020,0.000000
1975,0.000021,0.000000
1976,0.000017,0.000000
1977,0.000010,0.000000
1978,0.000016,0.000000
1979,0.000012,0.000000
1980,0.000014,0.000000
1981,0.000011,0.000000
1982,0.000008,0.000000
1983,0.000008,0.000000
1984,0.000013,0.000000
1985,0.000006,0.000000
1986,0.000005,0.000000
1987,0.000007,0.000000
1988,0.000007,0.000000
1989,0.000007,0.000000
1990,0.000006,0.000000
1991,0.000005,0.000000
1992,0.000004,0.000000
1993,0.000004,0.000000
1994,0.000003,0.000000
1995,0.000005,0.000000
1996,0.000005,0.000000
1997,0.000005,0.000000
1998,0.000004,0.000000
1999,0.000004,0.000000
2000,0.000004,0.000000
2001,0.000004,0.000000
2002,0.000005,0.000000
2003,0.000005,0.000000
2004,0.000004,0.000000
2005,0.000006,0.000000
2006,0.000006,0.000000
2007,0.000006,0.000000
2008,0.000007,0.000000
2009,0.000009,0.000000
2010,0.000008,0.000000
2011,0.000011,0.000000
2012,0.000010,0.000000
2013,0.000011,0.000000
2014,0.000014,0.000000
2015,0.000015,0.000000
2016,0.000019,0.000000
2017,0.000019,0.000000
2018,0.000022,0.000000
2019,0.000017,0.000000
2020,0.000018,0.000000
