year,Edrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,8
1951,0
1952,0
1953,0
1954,0
1955,8
1956,9
1957,6
1958,8
1959,12
1960,9
1961,7
1962,8
1963,13
1964,6
1965,10
1966,15
1967,14
1968,17
1969,17
1970,18
1971,13
1972,23
1973,21
1974,27
1975,44
1976,22
1977,19
1978,22
1979,31
1980,29
1981,26
1982,30
1983,25
1984,28
1985,19
1986,19
1987,14
1988,21
1989,17
1990,25
1991,21
1992,28
1993,19
1994,18
1995,16
1996,25
1997,30
1998,24
1999,15
2000,30
2001,31
2002,22
2003,26
2004,24
2005,26
2006,40
2007,35
2008,34
2009,30
2010,31
2011,34
2012,26
