year,Emil (F),Emil (M)
1880,0.000000,0.000591
1881,0.000000,0.000752
1882,0.000000,0.000709
1883,0.000000,0.000641
1884,0.000000,0.000719
1885,0.000000,0.000573
1886,0.000000,0.000497
1887,0.000000,0.000590
1888,0.000000,0.000474
1889,0.000000,0.000505
1890,0.000000,0.000547
1891,0.000000,0.000464
1892,0.000000,0.000470
1893,0.000000,0.000489
1894,0.000000,0.000378
1895,0.000000,0.000387
1896,0.000014,0.000400
1897,0.000000,0.000378
1898,0.000000,0.000414
1899,0.000000,0.000377
1900,0.000000,0.000282
1901,0.000000,0.000353
1902,0.000000,0.000352
1903,0.000000,0.000336
1904,0.000000,0.000250
1905,0.000000,0.000288
1906,0.000000,0.000324
1907,0.000000,0.000322
1908,0.000000,0.000289
1909,0.000000,0.000299
1910,0.000000,0.000328
1911,0.000000,0.000332
1912,0.000000,0.000412
1913,0.000005,0.000485
1914,0.000004,0.000483
1915,0.000004,0.000501
1916,0.000000,0.000501
1917,0.000004,0.000500
1918,0.000000,0.000420
1919,0.000003,0.000401
1920,0.000003,0.000369
1921,0.000003,0.000350
1922,0.000003,0.000360
1923,0.000003,0.000346
1924,0.000003,0.000332
1925,0.000003,0.000310
1926,0.000003,0.000297
1927,0.000003,0.000268
1928,0.000003,0.000257
1929,0.000003,0.000227
1930,0.000002,0.000229
1931,0.000003,0.000213
1932,0.000000,0.000186
1933,0.000000,0.000185
1934,0.000000,0.000161
1935,0.000002,0.000153
1936,0.000000,0.000131
1937,0.000000,0.000129
1938,0.000002,0.000146
1939,0.000000,0.000124
1940,0.000000,0.000114
1941,0.000000,0.000122
1942,0.000000,0.000095
1943,0.000000,0.000093
1944,0.000000,0.000083
1945,0.000000,0.000084
1946,0.000000,0.000077
1947,0.000000,0.000072
1948,0.000000,0.000073
1949,0.000000,0.000062
1950,0.000000,0.000059
1951,0.000000,0.000058
1952,0.000000,0.000054
1953,0.000000,0.000048
1954,0.000000,0.000045
1955,0.000000,0.000045
1956,0.000000,0.000042
1957,0.000000,0.000045
1958,0.000000,0.000041
1959,0.000000,0.000039
1960,0.000001,0.000039
1961,0.000000,0.000036
1962,0.000000,0.000036
1963,0.000000,0.000032
1964,0.000000,0.000034
1965,0.000000,0.000040
1966,0.000000,0.000028
1967,0.000000,0.000030
1968,0.000000,0.000029
1969,0.000000,0.000031
1970,0.000000,0.000034
1971,0.000000,0.000029
1972,0.000000,0.000029
1973,0.000000,0.000033
1974,0.000000,0.000030
1975,0.000000,0.000032
1976,0.000000,0.000029
1977,0.000000,0.000026
1978,0.000000,0.000028
1979,0.000000,0.000028
1980,0.000000,0.000026
1981,0.000000,0.000022
1982,0.000000,0.000023
1983,0.000000,0.000028
1984,0.000000,0.000024
1985,0.000000,0.000022
1986,0.000000,0.000017
1987,0.000000,0.000025
1988,0.000000,0.000020
1989,0.000000,0.000020
1990,0.000000,0.000021
1991,0.000000,0.000023
1992,0.000000,0.000027
1993,0.000000,0.000019
1994,0.000000,0.000025
1995,0.000000,0.000025
1996,0.000000,0.000020
1997,0.000000,0.000017
1998,0.000000,0.000019
1999,0.000000,0.000027
2000,0.000000,0.000024
2001,0.000000,0.000029
2002,0.000000,0.000026
2003,0.000000,0.000023
2004,0.000000,0.000021
2005,0.000000,0.000024
2006,0.000000,0.000026
2007,0.000000,0.000028
2008,0.000000,0.000034
2009,0.000000,0.000039
2010,0.000000,0.000029
2011,0.000000,0.000029
2012,0.000000,0.000031
2013,0.000000,0.000032
