year,Elbridge
1880,0
1881,8
1882,0
1883,0
1884,6
1885,0
1886,10
1887,0
1888,0
1889,0
1890,6
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,0
1911,6
1912,12
1913,18
1914,23
1915,24
1916,25
1917,13
1918,22
1919,24
1920,27
1921,21
1922,18
1923,22
1924,19
1925,13
1926,22
1927,21
1928,19
1929,18
1930,11
1931,16
1932,10
1933,8
1934,7
1935,9
1936,7
1937,11
1938,8
1939,14
1940,5
1941,5
1942,7
1943,8
1944,14
1945,8
1946,9
1947,6
1948,9
1949,9
1950,5
1951,0
1952,6
1953,11
1954,10
1955,6
1956,0
1957,0
1958,0
1959,5
1960,0
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
