year,Ezekial
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,9
1916,6
1917,0
1918,6
1919,5
1920,0
1921,8
1922,0
1923,6
1924,0
1925,5
1926,5
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,7
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,5
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,8
1971,0
1972,5
1973,5
1974,0
1975,0
1976,9
1977,6
1978,8
1979,11
1980,13
1981,10
1982,10
1983,12
1984,0
1985,9
1986,10
1987,9
1988,5
1989,8
1990,20
1991,12
1992,9
1993,9
1994,11
1995,11
1996,18
1997,24
1998,19
1999,27
2000,49
2001,32
2002,29
2003,43
2004,38
2005,47
2006,37
2007,56
2008,52
2009,52
2010,51
2011,63
2012,43
