year,Etta (F),Etta (M)
1880,0.001603,0.000000
1881,0.001640,0.000000
1882,0.001589,0.000000
1883,0.001622,0.000000
1884,0.001737,0.000000
1885,0.001544,0.000000
1886,0.001696,0.000000
1887,0.001766,0.000000
1888,0.001670,0.000000
1889,0.001609,0.000000
1890,0.001500,0.000000
1891,0.001577,0.000000
1892,0.001471,0.000000
1893,0.001494,0.000000
1894,0.001532,0.000000
1895,0.001268,0.000000
1896,0.001354,0.000000
1897,0.001346,0.000000
1898,0.001256,0.000000
1899,0.001161,0.000000
1900,0.001128,0.000000
1901,0.001102,0.000000
1902,0.001034,0.000000
1903,0.001091,0.000000
1904,0.000850,0.000000
1905,0.000936,0.000000
1906,0.000896,0.000000
1907,0.000875,0.000000
1908,0.000819,0.000000
1909,0.000718,0.000000
1910,0.000728,0.000000
1911,0.000674,0.000000
1912,0.000516,0.000000
1913,0.000477,0.000000
1914,0.000410,0.000000
1915,0.000418,0.000004
1916,0.000384,0.000000
1917,0.000374,0.000000
1918,0.000348,0.000000
1919,0.000352,0.000000
1920,0.000355,0.000000
1921,0.000317,0.000000
1922,0.000314,0.000000
1923,0.000323,0.000000
1924,0.000304,0.000000
1925,0.000314,0.000002
1926,0.000285,0.000002
1927,0.000279,0.000000
1928,0.000258,0.000000
1929,0.000280,0.000000
1930,0.000248,0.000000
1931,0.000246,0.000000
1932,0.000239,0.000000
1933,0.000257,0.000000
1934,0.000240,0.000000
1935,0.000219,0.000003
1936,0.000216,0.000000
1937,0.000207,0.000000
1938,0.000208,0.000000
1939,0.000185,0.000000
1940,0.000185,0.000000
1941,0.000170,0.000000
1942,0.000164,0.000000
1943,0.000149,0.000000
1944,0.000137,0.000000
1945,0.000130,0.000000
1946,0.000112,0.000000
1947,0.000095,0.000000
1948,0.000100,0.000000
1949,0.000095,0.000000
1950,0.000082,0.000000
1951,0.000068,0.000000
1952,0.000066,0.000000
1953,0.000064,0.000000
1954,0.000060,0.000000
1955,0.000066,0.000000
1956,0.000062,0.000000
1957,0.000055,0.000000
1958,0.000059,0.000000
1959,0.000050,0.000000
1960,0.000052,0.000000
1961,0.000050,0.000000
1962,0.000050,0.000000
1963,0.000046,0.000000
1964,0.000040,0.000000
1965,0.000035,0.000000
1966,0.000033,0.000000
1967,0.000027,0.000000
1968,0.000030,0.000000
1969,0.000021,0.000000
1970,0.000018,0.000000
1971,0.000020,0.000000
1972,0.000019,0.000000
1973,0.000011,0.000000
1974,0.000016,0.000000
1975,0.000014,0.000000
1976,0.000012,0.000000
1977,0.000012,0.000000
1978,0.000011,0.000000
1979,0.000011,0.000000
1980,0.000007,0.000000
1981,0.000011,0.000000
1982,0.000008,0.000000
1983,0.000007,0.000000
1984,0.000006,0.000000
1985,0.000005,0.000000
1986,0.000006,0.000000
1987,0.000005,0.000000
1988,0.000007,0.000000
1989,0.000005,0.000000
1990,0.000005,0.000000
1991,0.000005,0.000000
1992,0.000005,0.000000
1993,0.000006,0.000000
1994,0.000005,0.000000
1995,0.000004,0.000000
1996,0.000005,0.000000
1997,0.000004,0.000000
1998,0.000004,0.000000
1999,0.000003,0.000000
2000,0.000004,0.000000
2001,0.000002,0.000000
2002,0.000008,0.000000
2003,0.000007,0.000000
2004,0.000007,0.000000
2005,0.000007,0.000000
2006,0.000012,0.000000
2007,0.000010,0.000000
2008,0.000015,0.000000
2009,0.000019,0.000000
2010,0.000022,0.000000
2011,0.000024,0.000000
2012,0.000036,0.000000
2013,0.000056,0.000000
