year,Ezequiel (F),Ezequiel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000006
1917,0.000000,0.000004
1918,0.000000,0.000006
1919,0.000000,0.000004
1920,0.000000,0.000005
1921,0.000000,0.000006
1922,0.000000,0.000010
1923,0.000000,0.000004
1924,0.000000,0.000005
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000007
1928,0.000000,0.000007
1929,0.000000,0.000007
1930,0.000000,0.000007
1931,0.000000,0.000007
1932,0.000000,0.000005
1933,0.000000,0.000006
1934,0.000000,0.000007
1935,0.000000,0.000005
1936,0.000000,0.000008
1937,0.000000,0.000004
1938,0.000000,0.000005
1939,0.000000,0.000005
1940,0.000000,0.000003
1941,0.000000,0.000005
1942,0.000000,0.000008
1943,0.000000,0.000005
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000008
1947,0.000000,0.000004
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000003
1951,0.000000,0.000005
1952,0.000000,0.000004
1953,0.000000,0.000008
1954,0.000000,0.000004
1955,0.000000,0.000007
1956,0.000000,0.000007
1957,0.000000,0.000006
1958,0.000000,0.000007
1959,0.000000,0.000005
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000006
1963,0.000000,0.000007
1964,0.000000,0.000008
1965,0.000000,0.000008
1966,0.000000,0.000010
1967,0.000000,0.000007
1968,0.000000,0.000007
1969,0.000000,0.000010
1970,0.000000,0.000011
1971,0.000000,0.000012
1972,0.000000,0.000015
1973,0.000000,0.000021
1974,0.000000,0.000016
1975,0.000000,0.000021
1976,0.000000,0.000025
1977,0.000000,0.000021
1978,0.000000,0.000020
1979,0.000000,0.000020
1980,0.000000,0.000028
1981,0.000000,0.000028
1982,0.000000,0.000029
1983,0.000000,0.000023
1984,0.000000,0.000023
1985,0.000000,0.000021
1986,0.000000,0.000026
1987,0.000000,0.000026
1988,0.000000,0.000032
1989,0.000000,0.000030
1990,0.000000,0.000045
1991,0.000000,0.000042
1992,0.000000,0.000046
1993,0.000000,0.000050
1994,0.000000,0.000064
1995,0.000000,0.000078
1996,0.000000,0.000090
1997,0.000000,0.000092
1998,0.000000,0.000087
1999,0.000000,0.000096
2000,0.000000,0.000088
2001,0.000000,0.000096
2002,0.000000,0.000106
2003,0.000000,0.000103
2004,0.000000,0.000106
2005,0.000000,0.000114
2006,0.000000,0.000117
2007,0.000000,0.000122
2008,0.000000,0.000133
2009,0.000000,0.000122
2010,0.000000,0.000121
2011,0.000000,0.000125
2012,0.000000,0.000139
2013,0.000000,0.000129
