year,Evangelina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,6
1912,6
1913,8
1914,10
1915,10
1916,14
1917,20
1918,12
1919,21
1920,29
1921,29
1922,37
1923,43
1924,56
1925,36
1926,63
1927,64
1928,64
1929,96
1930,83
1931,58
1932,72
1933,73
1934,68
1935,71
1936,69
1937,60
1938,64
1939,68
1940,86
1941,74
1942,90
1943,84
1944,92
1945,87
1946,82
1947,102
1948,81
1949,115
1950,110
1951,106
1952,92
1953,79
1954,90
1955,76
1956,75
1957,91
1958,88
1959,96
1960,68
1961,99
1962,89
1963,84
1964,74
1965,87
1966,81
1967,82
1968,96
1969,73
1970,81
1971,94
1972,83
1973,78
1974,104
1975,96
1976,73
1977,79
1978,85
1979,91
1980,85
1981,101
1982,85
1983,82
1984,61
1985,63
1986,70
1987,65
1988,60
1989,74
1990,71
1991,84
1992,77
1993,66
1994,62
1995,72
1996,70
1997,80
1998,67
1999,91
2000,84
2001,97
2002,90
2003,118
2004,113
2005,148
2006,163
2007,182
2008,191
2009,164
2010,191
2011,185
2012,217
